genome,D300693,D300694,D300695,D300696,D300697,D300698,D300699,D300700,D300701,D300702,D300703,D300704,D300705,D300706,D300707,D300708,D300709,D300710,D300711,D300712,D300713,D300714,D300715,D300716,D300717,D300718,D300719,D300720,D300721,D300722,D300723,D300724,D300725,D300726,D300727,D300728,D300729,D300730,D300731,D300732,D300733,D300734,D300735,D300736,D300737,D300738,D300739,D300740,D300741,D300742,D300743,D300744,D300745,D300746,D300747,D300748,D300749,D300750,D300751,D300752,D300753,D300754,D300755,D300756,D300757,D300758,D300759,D300760,D300761,D300762,D300763,D300764,D300765,D300766,D300767
00:bin_000049,0.98,0,3.726,3.883,0,0,0,0,0,0,0,0,1.038,0,0,0,0.775,0,0,1.059,0,1.109,0,0,0,0,0,0,0,0,0,0,0,0.527,0,0,0.546,0,0.739,0,2.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872,0,0,0,1.582,0.933,0,0,0,0.707,0,1.13,1.386,0,0,0,0,0.877,0.547,0.622,0
00:bin_000052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679,0,1.95,10.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.834,0,0,0.783,0,0,0,0,0,0,0,0,0,0.541,0,0,0,0,0
00:bin_000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709,1.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.209,1.188,0,3.291,0,0,0,0,0,0,0,0,0,0,0,0,0,1.726,0,0,0.528,0,0,0,0,0,0,0,0,0,0,0,0.716,0.601,0,0,0,0
00:bin_000057,0.965,0.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.492,1.468,0.622,0.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.103,0,0.6,0,0.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554,0,0,0,0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000065,0,0,0,0,0,0,0,7.584,0,0,0,0,0,0,0,0,0,0,0,0,0.853,6.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.541,0,0.629,0,0,0,0,2.09,0,0,0,2.04,0,0,0,0,0,0
00:bin_000067,2.466,1.328,0.718,1.617,0,0,0,0.489,0,0,2.153,0,3.803,1.137,0,0,2.025,1.498,1.61,2.35,0,2.088,0,0,0,0,0,0,1.259,0,3.581,0,0,0.705,0,0,1.12,0.737,0.711,0,0.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944,0,0,0,0,0,0,1.161,1.74,0.657,0.729,0.548,0,0.646,0.777,1.246,0
00:bin_000077,0.881,0,0,0,0,0,0,0.688,0,0,0,0,1.057,0,0,0.523,0.875,0,0.942,0.995,0,0.826,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0.729,0.578,0,0.698,0,0,0,0,0,0,0,0,0,0,0,0,0,1.037,0,0,0.602,1.572,0.858,0,0,1.023,0.696,0,0,0.651,0.754,0,0.676,0,0,0,0,0
00:bin_000098,24.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.632,0,0,0,0,18.047,0,0,0,0,0,0
00:bin_000105,0,5.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.128,1.249,2.187,0,3.236,0,0,0,0,0,0,0,0,0,0,0,0,0,2.268,0.766,0,0,0.818,2.997,0,0,1.543,2.449,0,0,0,0,0,0,0,1.146,0,0,0
00:bin_000114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,3.201,0,0,0,0,0,0,0,0,0,1.122,4.483,0,0,5.425,0,0,0,0,0,0,0,0,0,0,0,0,0,3.166,0,0,2.615,0.931,4.734,0,1.748,0,4.804,2.126,0,0,0,0.762,0,2.811,0,0,0,0
00:bin_000122,4.255,2.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.484,1.765,0.853,3.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.316,2.077,1.532,0,1.822,0,0,0,0,0,0,0,0,0,0,0,0,0,1.994,0,0,0,1.265,0,0,0,0,0.536,0,0,0,0,0,0,0,0.642,0,1.699,0
00:bin_000123,0,4.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629,0,0,3.191,0,0,0,0,2.674,0,0,0,0,0,0,0,0.758,0,1.497,5.094,0.616,0,2.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.677,0,2.499,0,0,5.673,1.882,1.999,1.342,0,0.863,3.966,0.673,0.894,1.579,0,1.875,0
00:bin_000129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.698,0,1.26,0,0,0,0,0,3.776,0,0,0,0,0,0,0,0,0,0.662,3.717,6.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.865,1.779,0.608,1.294,1.963,0,0,0,0,0,0,1.034,0.587,0.597,0,0,0,0
00:bin_000144,3.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681,1.353,6.057,0,1.237,0,0,0,0,0,0,0,0,0,0,0,0,0,15.337,0,0.925,1.72,0,1.184,0,0,0,0,0,1.427,0,0,0,0,4.47,0,7.259,0,0
00:bin_000146,2.622,1.185,0,0.733,0,0,0,0.789,0,0,0,0,0,0,0,1.915,1.504,0,0.735,1.56,0.963,0.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578,0,0,0,0.802,0,0,0,0,0.597,0,0,0,0.846,0,0,0,0.956,0,0.806,0
00:bin_000151,6.583,0.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.771,0,0,1.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.551,0,4.582,0.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000159,1.37,0.683,0,1.473,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692,0.5,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.092,1.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000162,0.905,0,3.099,2.236,0,0,0,0,0,0,0,0,0.551,1.394,0,1.281,2.018,1.499,2.901,4.495,0,0.812,0,0,0,0,0,0,0.824,0,0,0,0,0,0,0,1.12,0,0.628,0,0.637,0,0,0,0,0,0,0,0,0.709,0,0.96,0,0,0.674,1.542,0,0,0,0,0,0,1.968,0,0,1.297,1.123,1.977,0,0,0,0.699,0,1.91,0
00:bin_000163,3.282,0,0,26.737,0,0,0,6.318,0,0,9.785,0,28.889,2.54,0,0,0,0,26.468,0,0,0,0,0,0,0.647,0,0,50.666,0,0,1.422,0,0,0,0,0.628,9.409,3.748,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.279,3.384,0,0,1.606,1.472,0.903,10.57,0,0,0,0,0,5.32,0,0,0,0
00:bin_000167,4.929,0.602,2.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.732,0,1.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.177,1.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,0.849,0.644,0,0.548,0,0,0,0,0
00:bin_000175,2.395,1.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588,0,0,1.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581,0.69,0,0.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596,0.929,0,0,0,0,0,0,0,1.381,0,1.03,0,0,0,0,0,0,0,0,0
00:bin_000184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000194,0.834,0,0,0,0,0,0,0,0,0,0,0,2.084,2.343,0,3.749,1.025,6.368,0,0,0,2.308,0,0,0.542,0.697,0.624,0,1.957,0,2.548,0,0,1.489,0.676,0,1.279,0.72,0.994,0,2.193,0,0,0,0,0,0,0,0,0,0,0,0,0.725,1.918,0.683,0,1.272,1.117,0.94,0,0,0,0.694,0,0.899,0,0,0.621,0,1.163,1.227,1.255,1.292,0
00:bin_000198,3.763,0.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605,0,0,2.373,0,0,1.904,0,0,0,0,0.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538,1.541,0,0,0,0,0,0.621,0,0.719,0,0,0,0,0,2.38,0.947,0,0,0,0,0
00:bin_000200,0,0,0.613,0.569,0,0,0,0,0,0,0,0,0,0,0,3.674,2.197,4.552,2.065,2.048,0,0,0,0,0,0,7.126,0,0,0,0,0,0,0,0.736,0,0,0.937,0.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0.633,0,0,1.523,2.062,1.186,0,2.961,1.731,0,0,0,0.52,1.209,0.72,0,0,0,0,0
00:bin_000204,2.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.736,0,0,4.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000205,2.483,1.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998,0,0,3.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892,3.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.198,0,0,0,0,0,1.846,1.725,0,0,0,0,0,0,0,0,0,0
00:bin_000212,10.368,4.658,0,0,0,0,0,0,0,0,0,0,0,0,0,8.338,0,0,2.925,0,1.392,16.913,0,0,0,0,0.628,0,0,0,0,0,0,1.216,2.84,0,4.785,0.578,7.826,0,5.218,0,0,0,0,0,0,0,0,0,0,0,0,0,6.396,0.559,0.991,1.355,5.478,0,1.681,0,1.041,0.577,1.016,1.395,0,0,0,0,0,0.907,0,1.365,0
00:bin_000217,4.982,1.022,0.76,0,0,0,0,0,0,0,0,0,0,0,0,1.441,1.989,0,2.057,1.854,1.23,1.357,0,0,0,0.764,0.566,0,0,0,0,0,0,1.294,1.114,0,0.891,0,1.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.682,0,0,0,2.431,0,0,0,1.445,1.502,0.549,1.474,1.046,1.002,0,0,0,0.656,0.557,0.6,0
00:bin_000221,15.333,8.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.387,0,0
00:bin_000228,0,5.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684,3.5,0,0,0,0,1.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682,0,0,0,0,0,0.795,0,0,0,0,0,0,0,0,0,0,0
00:bin_000232,1.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.043,0,0,0,0,0,0,0,6.216,0
00:bin_000238,10.075,3.735,0,0,0,0,0,1.213,0,0,0,0,0,0,0,1.266,1.805,11.304,2.345,8.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.334,0,0,0,1.565,0.714,0,0,0.662,1.616,0.742,0.65,0,0,0,0,0,0,0,0,0
00:bin_000241,0,0,3.8,2.228,0,0,0,0,0,0,0,0,0,0,0,1.013,1.861,3.602,0,6.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829,0,0,0,1.252,0,0,0,0,0,0,0,1.495,0,0,0,0,0,0,0,0
00:bin_000243,1.841,1.006,2.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801,0,1.63,0,0.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.034,2.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.356,0
00:bin_000285,2.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619,0,0,0.593,0,0,0.681,0,0
00:bin_000287,1.14,0,2.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.364,0,0,0.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.389,0
00-TM1:bin_000014,2.116,14,0,5.475,0,0,0,0,0,0,0,0,0.986,1.92,0,0,6.402,2.398,0,36.475,0,0,0,0,0,0,0,0,0.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-TM1:bin_000022,5.16,1.498,8.73,4.306,0,0,0,3.095,0,1.437,3.177,1.749,7.892,0.73,0.769,14.839,7.012,14.479,7.73,28.211,5.308,12.804,0,0,0,1.361,2.436,3.798,1.829,0,7.661,4.57,0.598,4.259,3.408,0,4.328,2.326,8.714,0,10.838,0,0,0,0,0,0,0,0,2.61,0,1.096,0.862,1.922,4.112,0.972,1.265,2.878,4.634,2.251,1.234,0.644,0.853,1.7,1.382,4.049,4.053,3.388,1.332,2.85,1.443,4.196,4.409,5.301,0
00-TM1:bin_000047,77.771,7.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-TM1:bin_000048,8.213,3.173,1.434,27.269,0,0,0,0.655,0,0,0,0,2.117,11.73,0,0,36.115,1.129,5.501,0.734,0,4.974,0,0,0,0,1.815,0,0,0,0,2.225,0,3.45,0,0,0.76,6.2,1.046,0,1.008,0,0,0,0,0,0,0,0,0,0,0,0,0,2.725,1.848,1.17,1.15,26.685,10.992,1.488,1.933,11.284,0,1.157,0,1.198,4.383,5.286,9.912,0,0.64,0,1.038,0
00-TM1:bin_000056,6.689,3.329,0.839,3.834,0,0,0,0,0,0,0,0,0.658,0,0,0.914,2.506,0,2.875,5.266,0,2.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.278,0,2.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694,0,5.821,0,0,1.61,1.467,1.439,1.808,0,2.283,1.083,0,1.29,0,7.78,0,0
00-TM1:bin_000074,38.019,12.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.557,5.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.262,0.694,0.61,0,0,0,3.004,0.851,0,0,0,0,0,0,0,0,0,0
00-TM1:bin_000078,2.448,0,3.648,2.536,0,0,0,0.513,0,0,0,0,0,0,0,0.891,0,3.053,1.135,1.184,0.508,1.796,0,0,0,0.849,0,0,0,0,0,0,0,0,0,0,0,0.679,1.423,0,1.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0.776,0.781,0,0,2.356,0.963,0,0,0.796,0.825,0,0,0,0,0,0.944,0
00-TM1:bin_000084,5.295,1.868,10.489,3.433,0,0,0,0,0,0,0,0,0,0,0,11.134,5.404,2.124,1.098,4.433,1.605,1.292,0,0,0,0,1.537,0,0,0,0.806,0,0,0,0.9,0,1.445,1.259,1.783,0,3.508,0,0,0,0,0,0,0,0,0,0,0,0.991,0,2.593,2.718,0,0,4.046,1.018,0,0,1.288,1.526,0,0.909,2.777,0.582,0.968,0.642,0.76,0.801,1.846,1.123,0
00-TM1:bin_000088,2.525,0.903,20.278,27.415,0,0,0,1.224,0,0.743,7.333,0,21.566,3.634,1.143,19.949,0.873,10.011,3.343,5.982,0,1.662,0,0,0,1.204,6.049,0.816,9.029,0.938,4.202,0,0.632,0,1.223,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0.585,0,0,1.094,0,0.619,32.835,0,0,0,0,0,0,1.351,0,0,0,1.166,0,0.733,0,0,0,0,0,0
00-TM1:bin_000099,10.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-TM1:bin_000117,0.555,0,6.902,0.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747,0,0,0,0,0,0,0,0,1.018,0,0,0,0.745,0.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-TM1:bin_000135,6.745,2.467,3.696,3.286,0,0,0,1.058,0,0,0,0,1.756,1.214,0,1.273,3.077,2.188,2.028,3.874,1.055,1.995,0,0,0,0,0.849,0,1.192,0,1.362,0,0,1.124,0.979,0,1.815,1.537,2.009,0,3.554,0,0,0,0,0,0,0,0,0,0,0,0,0,2.795,0.969,0,0.979,3.546,2.645,0.836,0,1.788,2.96,1.044,2.424,3.11,1.68,1.462,1.045,0.967,1.91,1.752,2.292,0
00-TM2:bin_000005,0,0,0,0,0,0,0,2.085,0,0,0,0,0,0,0,0,0,0,0,0,0,112.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-TM2:bin_000007,8.831,2.969,4.256,1.057,0,0,0,0,0,0,0,0,14.225,2.015,0.791,44.499,16.22,0,3.135,25.924,3.867,2.318,0,0,0,0,5.113,0,0,0,0,4.361,0.483,0.705,3.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.939,0
00-TM2:bin_000016,2.207,3.193,0,0,0,0,0,2.784,0,0,1.063,0,0,4.651,0,0,2.573,0,3.052,1.78,11.498,6.746,0,0.916,1.528,4.911,1.104,1.146,5.365,0,1.119,30.69,0.674,4.535,28.213,0,5.931,3.345,2.152,0,0.633,0,0,0,0,0,0,0,0,0,0,2.369,0,0,0.67,1.057,0,2.599,1.004,2.477,0.977,0.895,0,4.613,5.319,0,0,0,0.96,0,0,0,0,0,0
00-TM2:bin_000034,3.406,2.429,0,5.994,0,0,0,1.306,0,0,0,0,2.088,0,0,5.421,5.406,1.565,6.728,18.88,2.753,6.507,0,0,0,0,0.709,0,0,0,0,0,0,1.244,0.671,0,0,4.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967,0.933,3.608,12.902,1.83,1.227,1.642,3.936,2.909,2.221,2.036,2.166,1.179,1.567,0,1.93,1.07,3.001,0,0
00-TM2:bin_000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.476,0,1.264,13.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.151,0,0,0,0,0.714,0
00-TM2:bin_000080,18.236,11.221,7.763,25.185,0,0,0,1.199,0,0,0,0,3.604,0.636,0.634,3.803,3.361,2.276,5.225,8.269,4.881,4.923,0,0,1.359,11.204,3.313,1.248,1.064,0,1.26,1.174,3.044,2.423,2.903,0,3.161,7.424,8.566,0,8.927,0,0,0,0,0,0,0,0,0,0,0,0,0,9.643,2.828,1.204,4.892,7.586,2.075,2.01,1.748,4.244,4.111,2.839,4.246,11.123,0.76,4.359,4.609,2.923,1.845,1.912,3.974,0
00-TM2:bin_000086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.881,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.952,1.913,0,0,0.793,0,0,0.648,0,0,0,1.961,0,6.335,0
00-TM2:bin_000116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,0,7.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,1.124,0,0,0,0,0,0,0,0,0,0,0,0
00-TM3:bin_000043,5.682,1.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,22.487,0,0,2.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.426,0,0,0,11.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.989,14.871,0,1.605,13.414,6.748,0,3.312,1.413,0,3.504,54.098,14.291,0
00-TM3:bin_000053,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826,0,0,0,0,0,0,0,5.047,0,0,0,0,0,0,0,0,0,5.143,1.016,2.691,0,7.965,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0.623,0.839,2.82,0,1.113,1.24,8.973,2.881,7.337,29.19,43.812,1.845,1.157,3.256,2.503,1.097,2.66,0,0,0
00-TM3:bin_000079,4.431,3.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.991,1.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.907,2.902,3.665,0,9.452,0,0,0,0,0,0,0,0,0,0,0,0,0,8.001,0,0,0,0,0,0,0,1.758,0,2.085,1.28,0,0,0,0,0,0,0,0,0
00-TM4:bin_000006,0,1.327,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,1.146,0,0.734,0,0,4.939,0,0,0,0.705,0.602,0,0,0,0,1.058,0,3.83,0.917,0,0.874,3.987,0,0,2.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,18.492,10.827,13.327,5.149,0.926,22.757,15.196,1.35,32.994,8.944,59.242,29,26.631,7.482,9.744,0,0
00-TM4:bin_000010,2.163,3.239,14.139,5.159,0,0,0,0,0,0,0,0,0.948,0.761,0,4.548,2.929,5.172,16.549,15.433,1.963,6.015,0,0,0,1.111,1.404,0,0,0,1.282,1.989,0,2.045,2.774,0,3.002,2.377,1.821,0,1.067,0,0,0,0,0,0,0,0,0,0,0,0,0,2.466,29.44,0,0.916,2.484,1.463,1.109,0,1.971,2.431,0.821,1.925,1.115,1.991,2.824,2.727,1.119,1.159,0.574,0.796,0
00-TM4:bin_000018,1.636,1.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.163,1.699,2.738,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.429,0.967,0,1.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.756,9.194,0,0,0,0,0.96,0,0,0,0.535,0,0,0,0,0,0,0
00-TM4:bin_000030,6.167,1.103,6.272,0,0,0,0,0.534,0,0,0,0,0,0,0,6.493,3.454,13.174,3.446,3.026,1.964,6.155,0,0,0,1.698,2.713,0,0,0,0,2.664,0,2.121,3.451,0,2.282,6.364,4.137,0,4.774,0,0,0,0,0,0,0,0,0,0,0,0,0,5.784,0,1.178,2.473,4.902,2.883,1.581,0,2.938,5.748,2.454,1.531,4.456,1.358,2.849,2.776,1.016,1.81,1.353,4.143,0
00-TM4:bin_000036,3.81,3.004,7.554,10.862,0,0,0,0,0,0,0,0,2.24,0.897,0,8.061,1.702,3.602,4.878,15.399,0,3.838,0,0,0,0,0.812,0,0,0,0,0,0,0,0,0,5.029,1.009,1.633,0,1.607,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118,9.575,0.834,0,0,0,0.66,0,1.097,0,0.964,2.029,0,0,0,0,0,1.266,1.321,0,0
07:bin_000036,0,1.053,0.647,89.296,0,0,0,26.328,0,2.189,23.737,0.932,110,74.768,0,0,1.944,1.923,55.586,0,0,1.519,0,0,0,1.215,4.582,0,48.352,0,53.299,0,0,0,0,0,0.811,9.248,10.431,0,24.961,0,0,0,0,0,0,0,4.611,0,0,0,1.284,4.324,2.379,1.096,1.446,5.271,55.492,0.957,0,9.449,5.115,2.515,20.059,1.871,0,0,0,0,3.785,0,0,0.834,0
07:bin_000056,0,0,0,0,0,0,0,3.506,0,0,0,0,8.461,3.786,0,8.025,2.924,0,0,0,0,0,0,0,1.588,1.147,6.328,0.553,0.605,0,0.623,2.649,0,10.048,8.229,0,2.431,6.031,0,0,0.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,1.097,7.043,7.428,11.292,0,0.808,3.629,7.522,2.8,1.521,5.049,0.801,1.802,1.267,3.837,1.189,2.434,1.255,0
07:bin_000064,1.248,2.758,0,0,0,0,0,0,0,0,0,0,0.541,0,0,2.131,0,0,1.267,0,2.126,5.223,0,0,0,0,1.863,0,0,0,1.668,6.579,0,0.998,1.188,0,2.427,8.648,4.095,0,3.637,0,0,0,0,0,0,0,0,0,0,0,0,0,1.151,0,2.043,4.329,15.919,6.236,0,0,0,5.736,1.915,2.321,0,0,2.118,0,0,0,0,0,0
