genome,D300242,D300243,D300244,D300245,D300246,D300247,D300248,D300249,D300250,D300251,D300252,D300253,D300254,D300255,D300256,D300257,D300258,D300259,D300260,D300261,D300262,D300263,D300264,D300265
JPB:bin_000311,1.993,1.289,3.223,0,3.673,1.934,1.019,0.969,1.395,1.834,1.351,1.335,0,0.894,3.42,0,1.806,1.788,1.044,1.2,0,0,0,1.636
JPB:bin_000312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000314,0,0.902,0,1.382,0,0.876,0.837,0,0,0.774,0,0,0,0,0,0,0,0,0,0,0,1.039,0,0
JPB:bin_000315,0,4.613,1.508,1.507,0,1.204,2.39,1.542,0,0,1.368,0,0.904,0,0,0,0,0,0,0,3.031,0,0,0
JPB:bin_000316,15.689,21.21,34.19,14.33,22.365,24.179,16.925,37.517,21.848,36.129,52.895,62.451,19.528,14.185,12.696,63.154,32.061,37.492,35.036,31.821,40.72,10.248,0,15.316
JPB:bin_000317,3.782,1.897,1.484,1.656,1.986,3.231,0.953,0.81,0.914,2.958,3.088,2.927,1.561,1.05,2.707,1.853,6.037,1.865,1.55,3.186,1.034,0.976,1.597,1.046
JPB:bin_000319,0,0,0,0,0,0,0.558,0,0,0,0,0,0,0,0,0,0,0,0,0,3.206,0,0,0
JPB:bin_000320,0,0,0.94,0,0,2.878,0,0,0,0.951,1.633,0,0.907,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000321,0,1.299,0,2.453,0,1.699,1.376,0,0.816,0,0,0,0,1.261,0,1.392,0,0,0,0,0,0,0,0
JPB:bin_000322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000328,0.944,1.873,0,1.091,0,1.428,0,1.008,1.441,0,3.302,0,0.85,0,0,1.806,0,0,0,0,2.529,0,0,0
JPB:bin_000330,0,0,0,0,0,0.683,0,0,0,0,1.081,0,0,0,2.483,0,0,0,0,0,0,0,0,0
JPB:bin_000334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.305,0
JPB:bin_000339,0,0,0,0,0,0,1.27,0.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.654,0
JPB:bin_000340,0,1.148,2.398,0,0,1.271,1.424,0.964,0,0.999,0.996,0,0,0,1.203,1.092,1.531,0,0,0,1.555,1.198,1.487,0
JPB:bin_000341,0,0,0,0,69.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.583
JPB:bin_000342,0,1.238,0,0,1.135,0,1.073,0.699,0,0,0,0,0,0,0,0,0,0,0,0,0.637,0,0,0
JPB:bin_000343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.091,0,0,0,0,0,0,0,0,0
JPB:bin_000344,1.168,2.235,1.642,1.418,0,2.082,0,2.141,0,0,1.264,0,1.827,0.935,2.024,0,0,0,0,1.311,1.623,1.153,1.72,0
JPB:bin_000345,0,1.359,0,1.346,0,0,3.302,3.143,0,0,0,0,0,0,2.67,3.017,1.891,0,0,1.104,0,0,0,0
JPB:bin_000346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000349,1.39,7.188,0,1.249,4.767,1.053,0.66,1.516,0,0,1.948,0,0.995,0,2.854,0.728,0,0,0,1.62,1.527,1.546,0,0
JPB:bin_000350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.167,0
JPB:bin_000352,1.252,1.484,0,3.077,0,1.651,2.262,1.612,0,0.929,1.941,0,2.059,0,1.59,2.601,1.938,0,0,1.149,3.461,1.128,3.084,0
JPB:bin_000353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000354,0,0,0,0.89,0,1.29,0,0,0,0.59,0,0,0,0,0,0,2.664,0,0,0,1.126,0,0,0
JPB:bin_000356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000357,0,0,0,0,0,0,1.164,0.913,0,0,0,0,0,0,0,0,0,0,0,0,1.409,0,4.218,0
JPB:bin_000358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948,0,0,0,0.92,0,0,0,0
JPB:bin_000359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000364,0.879,0,0,0,0,1.573,1.001,1.042,0,0,1.277,0,0,0.783,1.245,0,0,0,0,1.206,0,0,0,0
JPB:bin_000366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.299,0
JPB:bin_000367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000368,0,0,0,0,0,1.13,0,0.751,0,0,0,0,0,0,0,0.697,0,0,0,0,0.967,0,1.321,0
JPB:bin_000369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000372,0,0,0,1.31,4.365,1.318,0,0,2.107,1.328,0,0,0,2.291,0,0,1.489,1.85,4.846,1.884,0,1.184,0,0
JPB:bin_000373,0,0,0,0,0.939,0,0,0,0,0,0,0,0,0,1.238,0,0,0,0,0,0,0,0,0
JPB:bin_000376,0,0,0,2.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.906,0,3.178,0
JPB:bin_000377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
