genome,D300769,D300820,D300821,D300822,D300823,D300824,D300825,D300826,D300827,D300828,D300829,D300830,D300831,D300832,D300833,D300834,D300835,D300836,D300837,D300838,D300839,D300840,D300841,D300842,D300843,D300844,D300845,D300846,D300847,D300848,D300849,D300850,D300851,D300852,D300853,D300854,D300855,D300856,D300857,D300858,D300859,D300860,D300861,D300862,D300863,D300864,D300865,D300866,D300867,D300868,D300869,D300870,D300871,D300872,D300873,D300874,D300875,D300876,D300877,D300878,D300879,D300880,D300881,D300882,D300883,D300884,D300885,D300886,D300887,D300888,D300889,D300890,D300891,D300892,D300893,D300894,D300895,D300896,D300897,D300898,D300899,D300900,D300901,D300902,D300903,D300904,D300905,D300906,D300907,D300908,D300909,D300910,D300911,D300912,D300913,D300914,D300915,D300916,D300917,D300918,D300919,D300920
D300830:bin_000027,0,0,0,0,0,0,0,0,0,11.324,0,45.049,0,0,0,0,0,9.031,0,0,0,0,0,0,0,0.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,1.459,2.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300840:bin_000006,0,0.861,1.8,0.839,0,1.207,2.471,0,5.467,13.688,0,13.673,1.766,0,0,0,3.992,2.379,0,0,0,28.908,4.61,0,0,0,1.414,3.925,2.693,2.34,0,1.894,0,0,0,0,0,0,0,2.586,1.323,0.856,2.585,1.155,2.391,4.024,1.014,1.772,0,0.748,2.19,0,2.677,0,3.277,1.185,0.791,1.853,0,0,6.333,0,3.934,2.008,8.269,0,0,1.639,1.924,0,0,0,0,0,3.212,0,8.856,2.031,0.617,0,0,0,0,0,0,0,0,0.759,0.894,0,0.733,2.315,3.773,2.381,1.681,2.529,7.68,2.646,1.053,1.174,0,1.563
D300847:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.524,0,0,0,0.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,1.006,0,0,1.136
D300847:bin_000021,0,0,0,0,0,0,0,0,0,0,0,0,0,11.978,0,0,1.383,41.739,0,0,0,61.554,0,0,0,0,58.793,91.373,26.057,85.156,0,58.703,0,0,0,30.063,1.696,0,5.31,54.837,59.957,103.435,50.313,0,50.631,25.795,33.645,10.352,0,13.943,10.393,0,0,0,2.763,0,0,3.083,0,0,31.355,29.802,2.133,2.348,123.743,3.476,0.55,32.489,18.013,0,0,0,3.812,0,62.717,1.07,42.255,100.341,0,0,0,0,0,0,0,0,0,0,0.718,29.503,95.856,62.878,5.718,82.693,88.695,0,109.169,102.191,70.989,82.613,25.125,29.582
D300847:bin_000032,0,0,0,0,0,0,0,0,0,0,0,0,7.677,0.792,3.676,0,0,0,0,0,0,0,0,0,0,0,16.301,1.34,17.368,0,0,6.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.297,0,5.345,0,6.476,0,0,0,0,0.746,0,0,0,0,0,0,0,1.208,4.042,2.069,0.621,0,0,0,0,0,0,0,0,0,0,0,5.527,0,0,0,0,0,0,0,0,0,0,4.294,0,1.526,3.585,0,13.968,0,2.792,38.397,15.226,97.597,6.228,0
D300855:bin_000003,0,0,0,0,4.307,11.778,5.891,11.416,7.69,14.686,10.617,13.238,3.306,0.721,0,0,1.706,6.606,0.569,11.683,3.455,13.826,7.833,14.979,0,5.343,0,0,0,9.961,0,0,5.1,5.097,8.825,119.663,54.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.617,2.842,1.95,10.671,11.825,0,7.023,10.139,2.927,0,0,0,0,2.858,4.802,5.868,6.192,7.129,93.99,42.331,19.198,4.291,36.899,0,0,0,0,0,0.734,1.238,22.67,2.442,5.189,1.76,0.534,0,0,0,0,0,0,0,0,0,0,0,0,0
D300857:bin_000001,0,0,0,0,175.448,139.231,146.944,14.208,298.632,76.727,0,39.482,55.33,80.152,0,0,37.995,195.041,0,1.698,0,220.535,557.536,0.895,1.139,1.634,0,0,0,246.653,0,53.201,0,1.105,4.232,22.883,2.748,0,22.033,0,0,0,0,0,0,0,107.545,191.107,34.307,126.148,27.903,0,0,0,137.296,68.791,39.14,206.556,0,9.228,473.804,10.516,157.348,87.079,0,0,0,158.916,98.878,0.659,1.057,0,15.661,8.145,35.925,57.876,164.621,0,0,0,0,3.449,0,0,0,0,0,3.697,11.532,0,0,0,0,0,0,0,0,271.353,204.689,58.978,116.676,107.311
D300857:bin_000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300858:bin_000004,0,0,0,0,0,0,0,0,0,0,0,40.554,33.621,44.703,0,6.974,0,8.684,0,0,0,0,1.838,0,0,0,65.702,47.738,101.853,101.69,0,48.296,0,0,0,0,0,0,0,102.735,80.678,74.973,12.084,69.328,132.245,110.823,20.307,63.506,4.056,3.457,1.772,0,0,0,0,0,0,4.391,0,0,3.262,0,44.896,25.064,68.026,32.922,122.425,0,3.523,0,0,0,0,0,1.55,0,0,123.404,41.089,0,0,0,0,0,0,0,0,0,0,61.157,36.31,54.459,128.106,40.875,51.051,24.102,59.817,53.827,10.327,36.568,7.796,19.513
D300859:bin_000009,0,0,0,0,0,0,0,0,0,0.889,0,3.371,0,5.87,1.563,0,0,7.257,0,0,0,1.527,0,0,0,0,1.892,3.691,1.439,16.649,0,1.281,0,0,0,0,0,0,0.77,4.172,29.817,15.653,1.397,2.688,9.284,1.497,8.797,0.95,1.396,3.768,0.962,0,0,0,0,0,6.617,0,0,0,0,0,0,0,9.019,3.905,1.115,7.399,0,0,0,0,0,0,16.3,0,0,4.003,0,0,0,0,0,0,0,0,0,0,0,0,1.808,1.908,2.787,3.163,2.97,5.184,2.684,27.123,1.669,0,1.719,1.587
