genome	M301570	M301571	M301572	M301573	M301576	M301577	M301578	M301579	M301580	M301582	M301583	M301584	M301587	M301588	M301589	M301591	M301592	M301593	M301594	M301595	M301597	M301598	M301599	M301601	M301602	M301603	M301604	M301606	M301608	M301609	M301618	M301620	M301621	M301622	M301624	M301625	M301626	M301627	M301629	M301631	M301632	M301633	M301634	M301636	M301638	M301639	M301640	M301641	M301642	M301643	M301645	M301646	M301647	M301648
GPB:bin_000210	3.9235329141109534	3.136461804610777	4.665384333479589	3.8749245710969498	4.584207271095243	4.691251050482394	4.544145863684786	5.464729896754022	4.435257151061627	4.414096896395578	3.7005219027461647	4.77950663222122	4.4071689838358745	4.447945773521519	5.732508777866022	3.747624177812406	0.002560315511194603	4.050946262491578	6.437875701200135	4.925406964660618	4.257089312841439	5.415142609573974	3.6231100102312217	0.0016566747425376845	5.879726919759712	4.798445436664321	5.293791184683088	4.317219075655817	5.730588541232627	5.872761355501315	4.784062487763198	4.881015611900347	4.945061151378906	6.429366417295283	1.5160832996141456	5.348950923269855	0.3071625579459643	5.04141184833695	5.154216337624288	4.12508245722014	4.834440460615822	0.37851252697116683	4.885835029333184	7.658656727956939	4.23528897929759	5.953411294103945	4.087204848333938	5.9191858999910645	5.485438331035743	4.183706152086757	4.4005422848657245	5.991439509784923	5.80679557938936	4.3064130381306285
GPB:bin_000211	0.0693696580504435	0.051354477457602035	0.06817362946336689	0.05621334359260077	0.0693696580504435	0.07049093485082783	0.05068171137737144	0.0655573169291368	0.08192795821474794	0.07617207063944173	0.05075646316406373	0.07467703490559596	0.0458228452423727	0.06623008300936739	0.06608057943598282	0.05546582572567789	0	0.0470936256161416	0.09732682627335931	0.056886109672831364	0.028480430729761825	0.15346541807926778	0.06914540269036663	0	0.09030015832428422	0.0719859705846736	0.0706404384242124	0.06884639554359749	0.09179519405812998	0.08454427074897802	0.0757983117059803	0.05314852033821695	0.07475178669228826	0.08162895106797878	0.016893903792457147	0.08065717784097903	0.004036596481383566	0.07011717591736638	0.0846937743223626	0.07340625453182707	0.06421178476867562	0.0019435464539994947	0.06652909015613655	0.121621156948353	0.06413703298198332	0.075723559919288	0.04679461846937245	0.09545803160605211	0.05142922924429432	0.09179519405812998	0.06929490626375122	0.09022540653759192	0.08162895106797878	0.06824838125005918
GPB:bin_000212	0.21946423955987152	0.19391777129564672	0.23760292434368424	0.23081822545508252	0.2353182808403796	0.24674149835690287	0.23607982867481447	0.2378798508289333	0.26792637447845513	0.24861075213233394	0.19114850644315623	0.24314145404866522	0.2266643281763468	0.26162629693903927	0.24701842484215192	0.20160248126130784	1.384632426245246e-4	0.22521046412878928	0.34387346305800687	0.2896651035705055	0.37551231399771073	0.24951076320939336	0.17474061219215006	0	0.26280323450134774	0.2533185023815678	0.27554185282280397	0.2396798729830521	0.3258040098955064	0.2782418860539822	0.2908420411328139	0.28038806631466234	0.27581877930805304	0.31451925562160765	0.07899327991729128	0.25871856884392425	0.0174463685706901	0.24085681054536057	0.3170808256101614	0.2314413100468929	0.24473378133884724	0.02796957501015397	0.33965033415795887	0.4464747258427796	0.256018535612746	0.25996473802754494	0.2558108407488092	0.31929623749215374	0.2652263412472769	0.2614878336964147	0.27450337850312007	0.2593416534357346	0.25013384780120373	0.2353182808403796
GPB:bin_000213	0.4875886524822695	0.4208940767008143	0.5267161369407233	0.5139244593293056	0.5186443831538394	0.5935475221083969	0.5295207293581998	0.554009609491288	0.53034158567551	0.524800805533666	0.41795267489711935	0.4992858550039401	0.49511316872427985	0.5795245600210139	0.5700163076788373	0.4330701120742492	0	0.4318388275982839	0.7717417476578233	0.5850653401628579	0.4164477716487173	0.6075704841957797	0.3748577182383329	3.420234655459242e-4	0.6528543910340601	0.49867021276595747	0.5990198975571316	0.5385501488486122	0.730151694247439	0.6431409246125559	0.6320593643288679	0.5258952806234131	0.6043554636196481	0.676864438315384	0.19057547500218897	0.5534623719464146	0.034886393485684265	0.5455958322388583	0.6448510419402855	0.4741129279397601	0.5142664827948517	0.036186082654758776	0.6208409946589616	0.8946649811750285	0.48669939147185015	0.5341722484896244	0.4806113737851327	0.6499129892303651	0.5548304658085982	0.5292471105857631	0.597651803694948	0.6440301856229752	0.5949840206636897	0.4852628929165572
GPB:bin_000215	3.256751516501298	1.8596757734760214	3.0575282568623807	2.9553113145212113	3.5530550030130468	3.420424270524812	4.301685089038865	3.4188352146605063	3.251356117520166	3.3096707722614407	2.6111144233550316	2.8171004091141345	2.016437982229182	3.0131455570244396	3.8645099524170154	2.676930899967332	0.0015521010767639628	3.1095975525090576	5.23974541600497	4.005307692952032	1.8611909197652434	2.6494734928236268	2.3233474927654845	0.002808563853191933	3.962735777703649	3.35179923005932	3.5384578619339573	3.335797807053634	4.055824887521945	4.017983185078938	5.397948861472269	3.214253510827999	3.5812884606951343	3.2177272608569467	2.2711673327561814	3.422198100326828	0.10561678279503348	2.353243915886962	4.165913199609561	2.624713785170487	3.258377527153146	0.16152937634607814	2.626487614972503	4.111996164585784	2.2283736887825465	3.091009294375432	3.164844959884346	5.0475066112114915	3.7125149112567732	3.556380933891827	3.4882363056643806	3.6130326231937113	2.6633315381518763	2.962702272029611
GPB:bin_000217	1.7880851057124016	1.2335411625567014	1.5603344282910387	2.1852600675569733	2.3429245219835937	2.093190644769614	1.8218872301247055	2.3415062510292315	2.057261113925766	2.105482326374088	1.4439180207871247	1.9208116291914832	1.7460688286894153	1.8902006144264947	1.785957699280858	1.1802969071450127	0.001240987085067104	1.1435400515777872	2.957154034468712	1.9505362246099953	1.2154582078885807	2.077589664271627	2.004371426252668	4.1366236168903465e-4	2.4007781579969603	1.5911227269253225	2.5712070510128426	1.8525573395127926	2.353443364895115	2.1393435454094902	1.8761360941290675	1.7679338392358357	2.1568946484697253	1.7878487272200079	0.7350189220983162	2.0420147011663703	0.09868802057438399	1.4914891923813638	2.425538805075204	1.6172425503348302	1.699561360310948	0.16109194256632978	1.9432084913457894	3.0423093863535544	1.7318861191457913	2.0905313867301842	2.229935602619389	2.250205058342152	2.3779085388578665	2.046151324783261	2.1447802507345464	1.7265676030669321	2.5254087181115565	1.8129048474137437
TG1:bin_000010	0.025715119469166846	0.02071719656293379	0.023054934696494413	0.015719273656700738	0.021926371459603078	0.020233526604266076	0.019749856645598363	0.017009060213147978	0.025634507809388894	0.020797808222711742	0.018943740047818836	0.022813099717160557	0.027649799303837704	0.02910080917984085	0.018298846769595215	0.027246741004947943	0	0.017009060213147978	0.025070226190943224	0.033937508766518	0.021523313160713316	0.025795731128944798	0.014348875440475544	0	0.027891634283171565	0.020475361583599933	0.026682459386502277	0.02684368270605818	0.033856897106740044	0.021523313160713316	0.027004906025614086	0.023457992995384175	0.018863128388040884	0.021845759799825126	0.023538604655162127	0.020878419882489695	0.01064073909068973	0.03313139216873848	0.026037566108278655	0.018943740047818836	0.02031413826404403	0.00741627269957163	0.03482423702407548	0.04336907296053844	0.023538604655162127	0.0242641095931637	0.02297432303671646	0.025231449510499132	0.021362089841157412	0.020475361583599933	0.023054934696494413	0.019588633326042455	0.018540681748929075	0.018943740047818836
TG1:bin_000014	0.5353843923140094	0.47233707057373064	0.6199221769062105	0.5892400100634055	0.6034806782182939	0.567684816901688	0.5992084777718274	0.5909877284278691	0.5671022441135335	0.6791504103685874	0.44612129510677695	0.5926707164825377	0.5746756903595424	0.6091122151704543	0.6430956278128017	0.5406275474074	3.2365154897473665e-4	0.5715039051795899	0.6862060141362366	0.6957213696760939	1.5954079455160668	0.6067819240178363	0.5467121965281251	5.82572788154526e-4	0.7095736559722126	0.6350690693982282	0.7296400520086462	0.6464616039221389	0.8941844995074023	0.792687373748925	0.7243321666054606	0.7862790730792252	0.6898956417945485	0.7780583237352668	0.2340000699087346	0.6369462483822816	0.06272367019130395	0.605746239061117	0.712745441152165	0.5983022534346981	0.5828317093937058	0.0653776128928968	0.8006492018537035	1.0378210569423905	0.7011587156988695	0.7364367345371157	0.6763022767376097	0.711580295575856	0.677079040455149	0.6674342242957019	0.717729675006376	0.7106740712387267	0.6522226014938892	0.5426341870110434
TG1:bin_000020	0.00830186115123525	0.008384057796296987	0.011178743728395982	0.01512418269135927	0.008959434311729133	0.006986714830247489	0.0149597894012358	0.02022037468518685	0.012247300114198539	0.0078086812808648405	0.010110187342593425	0.012165103469136804	0.012165103469136804	0.011507530308642922	0.011425333663581188	0.018905228364199087	0	0.006657928250000548	0.011096547083334246	0.010438973922840366	0.007726484635803105	0.01717909881790265	0.002465899351852055	0	0.010438973922840366	0.014384412885803654	0.009206024246914338	0.015699559206791416	0.01306926656481589	0.01323365985493936	0.01274047998456895	0.012000710179013333	0.013315856500001095	0.015699559206791416	0.001972719481481644	0.011918513533951599	0.0018905228364199088	0.015206379336421005	0.01306926656481589	0.008877237666667398	0.009452614182099544	0	0.01594614914197662	0.015535165916667945	0.014137822950618448	0.013973429660494977	0.007397698055556164	0.0210423411358042	0.010603367212963835	0.007890877925926576	0.007726484635803105	0.005918158444444931	0.0135624464351863	0.008055271216050045
TG1:bin_000032	0.0031762191811452855	0.00133401205608102	0.0027950728794078512	0.0027950728794078512	0.00266802411216204	0.0018422071250642656	0.0036208898665056255	0.00533604822432408	0.004954901922586645	0.0017151583578184542	0.00266802411216204	0.004319658086357588	0.005081950689832457	0.0015881095905726427	0.0016516339741955485	0.0042561337027346826	0	0.002413926577670417	8.893413707206799e-4	0.0012704876724581142	0.003049170413899474	0.0029856460302765684	0.003303267948391097	0	0.0014610608233268313	0.0025409753449162284	0.004764328771717928	0.0020327802759329827	0.004129084935488871	0.003049170413899474	0.0040655605518659654	9.528657543435856e-4	0.0051454750734553625	0.004319658086357588	0.004954901922586645	0.001524585206949737	5.081950689832457e-4	0.002159829043178794	0.0042561337027346826	0.001079914521589397	0.00311269479752238	0	0.002413926577670417	0.0022868778104246056	0.004573755620849211	0.00266802411216204	0.0022868778104246056	0.006098340827798948	0.005844243293307325	0.0019057315086871713	0.0023504021940475113	0.00400203616824306	0.004383182469980494	0.0029221216466536627
