genome,M305768,M305846,M305884,M305789,M305757,M305781,M305779,M305792,M305890,M305889,M305788,M305854,M305880,M305881,M305794,M305793,M305764,M305774,M305893,M305761,M305847,M305762,M305877,M305859,M305848,M305875,M305853,M305791,M305778,M305796,M305773,M305758,M305753,M305771,M305754,M305878,M305755,M305887,M305752,M305770,M305790,M305782,M305888,M305772,M305861,M305850,M305767,M305750,M305786,M305867,M305870,M305857,M305864,M305756,M305883,M305869,M305769,M305784,M305852,M305876,M305892,M305787,M305849,M305871,M305856,M305855,M305759,M305783,M305873,M305858,M305885,M305765,M305775,M305795,M305760,M305891,M305777,M305874,M305862,M305868,M305882,M305863,M305866,M305780
IKPB:bin_000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKPB:bin_000032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKPB:bin_000033,0,0,0,0,0,0,0,0,0,0,5.214,0,0,0,0,0,0,2.092,1.883,7.499,0,0,0,0,0,0,0,0,0,0,0,4.343,0,0,0,0,2.318,0,2.881,0,2.347,0,0,1.746,0,0,0,0,3.732,0,0,0,0,1.968,0,1.857,0,0,0,0,2.289,0,0,0,0,0,0,0,0,0,0,0,4.995,0,0,0,0,0,3.547,0,1.652,0,0,0
IKPB:bin_000034,0,0,0,4.298,0,0,0,0,0,1.647,5.925,0,0,5.317,0,0,0,10.994,5.285,0,0,3.158,0,0,0,0,0,0,2.664,0,0,0,0,0,0,0,0,0,4.987,0,4.664,0,0,0,0,2.952,0,0,4.634,0,3.306,0,0,0,0,0,3.16,0,0,2.424,0,0,0,2.266,1.89,0,3.179,0,5.73,0,0,0,0,0,0,3.27,0,0,2.869,0,4.043,0,1.744,0
IKPB:bin_000036,0,0,0,0,0,2.813,0,0,0,0,3.144,0,0,0,0,0,2.537,0,1.488,0,0,3.217,0,2.818,0,0,1.747,0,2.068,0,0,5.191,0,8.072,0,0,0,0,2.682,0,2.103,2.204,0,0,0,17.628,0,0,0,0,4.029,0,0,6.634,0,1.365,0,0,0,0,0,3.869,5.487,0,3.378,0,0,0,0,1.451,0,0,3.791,0,0,2.391,4.422,0,5.427,0,1.964,0,2.997,0
IKPB:bin_000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKPB:bin_000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.558,0,0,0,0,0,0,0,0,0,0,3.532,0,0,0,0,0,0,0,0
IKPB:bin_000040,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0,0,0,0,0,2.364,7.224,0,3.282,0,0,0,0,0,3.354,0,0,0,3.02,0,0,0,0,3.027,0,2.415,0,4.131,0,0,0,0,0,0,0,3.527,0,1.771,0,0,3.057,0,1.854,0,0,0,0,2.814,0,0,0,0,0,0,0,0,0,0,0,6.429,0,0,0,0,0,4.16,0,0,0,0,0
IKPB:bin_000041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKPB:bin_000042,0,0,0,0,0,5.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.336,0,0,0,0,0,0,0,0,0,0,0,0,0,5.008,0,0,0,0,0
