genome,M303746,M303754,M303757,M303759,M303747,M303749,M303733,M303777,M303771,M303732,M303753,M303769,M303735,M303739,M303742,M303743,M303758,M303750,M303736,M303751,M303776,M303730,M303760,M303745,M303744,M303731,M303774,M303737,M303773,M303740,M303767,M303768,M303765,M303738,M303761,M303763,M303764,M303748,M303772,M303766,M303770,M303756
D300242:bin_000001,1.679,0,0,0,0,0,3.241,0,1.173,0,0,1.918,2.082,1.345,0,0,0,0,0,0,0,2.986,0,2.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300242:bin_000002,18.227,24.477,3.095,0,0,3.645,25.159,5.828,23.768,11.61,8.522,9.644,12.928,10.513,0,12.972,17.609,1.542,0,9.345,10.085,14.622,5,25.777,11.941,9.188,0,9.601,12.113,5.481,8.039,2.777,4.489,2.814,17.463,0.997,0,3.839,0,9.67,0,6.993
D300242:bin_000003,1.301,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,1.137,0,0,0,3.467,1.772,0,3.178,1.524,0,0,0,0,0,0,0,0,0,2.198,0,0,0,0,0,0,0
D300242:bin_000023,15.782,25.116,6.514,0,0,6.335,11.022,5.325,19.801,5.873,4.075,10.02,20.873,2.944,0,15.298,10.698,1.543,0,14.402,8.605,20.382,6.757,16.892,10.896,31.813,0,33.305,6.625,4.694,4.634,8.373,1.699,1.35,6.725,1.964,0,5.194,0,16.438,0,3.015
D300242:bin_000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300243:bin_000004,15.595,17.65,2.622,0,0,3.133,19.352,2.346,12.697,6.869,7.504,3.521,10.574,2.936,0,5.49,8.355,0,0,6.038,9.734,14.303,2.162,19.468,6.919,2.822,0,6.725,11.552,3.886,3.97,1.365,3.635,2.074,9.024,0,0,1.909,0,9.747,0,3.955
D300243:bin_000028,12.568,13.08,3.329,0,0,1.665,18.176,7.194,9.733,7.211,4.046,7.123,10.592,4.485,0,6.847,10.385,0,0,5.662,8.223,7.944,3.331,13.489,3.704,5.794,0,3.5,7.774,2.03,4.129,1.05,3.187,1.435,8.001,0,0,2.771,0,6.71,0,2.581
D300243:bin_000041,23.409,19.924,3.31,0,0,7.462,32.912,2.159,16.517,10.195,15.168,4.47,12.241,5.049,0,7.538,19.81,0,0,4.763,7.169,24.456,4.275,32.339,11.06,23.741,0,7.719,15.318,5.47,4.068,1.588,1.596,5.316,16.699,1.088,0,2.679,0,9.186,0,5.077
D300243:bin_000043,5.635,8.075,1.321,0,0,4.38,6.853,2.742,3.199,3.468,2.857,5.592,2.913,1.162,0,2.137,4.332,1.734,0,5.222,2.67,9.323,2.363,7.257,2.721,2.117,0,3.011,4.444,1.619,1.893,0,1.087,0,1.325,0,0,3.919,0,5.39,0,2.981
D300244:bin_000018,8.189,13.698,2.075,0,0,5.412,13.808,3.463,6.049,3.211,6.304,5.568,3.319,2.046,0,3.404,3.605,1.305,0,5.755,3.062,12.831,3.581,11.792,2.867,1.792,0,3.249,6.88,2.416,1.805,0,1.491,0,5.847,0,0,3.49,0,6.261,0,2.291
