genome,M304225,M304234,M304345,M304338,M304343,M304319,M304248,M304220,M304228,M304308,M304226,M304232,M304324,M304346,M304307,M304242,M304224,M304333,M304330,M304320,M304256,M304352,M304331,M304231,M304309,M304342,M304238,M304215,M304353,M304258,M304254,M304327,M304318,M304217,M304219,M304328,M304314,M304221,M304336,M304230,M304344,M304321,M304310,M304351,M304257,M304347,M304245,M304337,M304350,M304235,M304313,M304218,M304249,M304255,M304240,M304349,M304213,M304315,M304341,M304236,M304323,M304244,M304233,M304239,M304246,M304253,M304326,M304223,M304252,M304216,M304348,M304335,M304325,M304214,M304243,M304311,M304339,M304250,M304322,M304316,M304237,M304211,M304227,M304332
00:bin_000002,6.976,14.292,19.626,10.093,16.924,7.902,5.186,7.251,1.026,2.731,15.302,12.005,12.588,12.126,9.599,0,21.545,5.751,8.656,10.909,0,7.213,12.542,8.664,3.217,6.812,7.021,8.795,15.679,27.763,4.348,6.612,5.401,9.497,9.644,5.304,4.702,6.518,10.788,7.425,9.2,7.647,2.709,0,10.038,25.202,6.935,4.514,0,20.792,5.964,2.478,12.106,10.186,6.613,13.19,16.262,6.499,7.213,11.026,9.518,8.632,10.766,14.995,6.223,9.526,7.952,9.318,14.325,26.621,4.829,14.916,13.663,9.296,0,18.246,8.203,9.137,8.129,9.399,16.117,9.434,9.216,7.579
00:bin_000004,5.708,4.708,13.156,8.627,3.753,11.579,5.593,2.837,0,3.584,4.074,2.412,7.362,3.067,1.892,0,5.696,1.195,6.515,3.024,0,1.154,3.853,1.201,0.791,1.472,0,4.86,8.513,3.74,1.602,1.013,4.626,15.753,7.816,1.971,0,2.68,11.234,1.769,7.519,1.019,0,0,6.92,22.287,0,13.027,0,2,1.088,1.528,2.296,3.496,3.898,5.409,0,2.997,2.502,2.699,2.827,1.819,5.437,5.498,7.591,1.989,2.508,7.381,2.18,9.172,5.845,3.031,4.616,4.578,0,2.68,5.003,2.972,2.316,4.484,3.309,14.35,2.918,2.211
00:bin_000007,1.402,2.955,5.938,2.74,2.515,2.343,2.543,2.172,0,3.17,1.64,3.552,2.692,2.953,0.924,0,2.685,1.02,3.902,2.521,0,2.33,1.848,1.651,0.657,1.06,0,2.448,2.921,2.778,2.073,1.401,1.482,3.665,3.721,1.285,0,1.567,3.509,0,2.888,1.915,0,0,1.987,5.459,0,1.784,0,2.395,1.646,0.931,1.43,2.155,2.751,2.597,0,3.341,1.473,3.786,3.466,2.207,1.86,4.366,3.568,2.612,1.448,3.548,3.173,5.057,2.135,3.549,1.729,0,0,0,2.122,1.772,3.394,2.367,2.303,5.387,1.884,0
00:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000015,28.699,36.781,123.794,50.55,59.215,44.168,37.066,50.843,3.927,44.573,29.292,35.024,53.434,45.648,18.614,0,72.922,25.437,38.378,48.877,0,32.895,27.699,24.544,20.841,28.512,32.005,50.962,62.591,83.86,32.693,30.474,48.305,50.772,41.578,24.682,6.11,32.219,78.4,18.804,29.246,34.715,8.977,0,63.986,79.696,14.865,54.638,0,32.428,32.141,16.053,34.483,39.06,31.62,41.595,10.516,48.272,32.265,38.919,59.439,38.777,44.384,54.906,65.99,45.62,44.632,45.321,37.32,79.344,25.733,48.022,48.631,39.261,27.529,19.322,43.263,42.261,63.288,53.285,40.695,64.659,39.169,23.515
00:bin_000024,1.981,2.6,5.42,2.097,3.866,3.585,2.584,2.018,0,3.235,3.994,5.795,3.828,4.555,1.281,0,4.252,2.744,4.93,6.385,0,2.11,3.627,3.279,1.421,3.583,1.756,5,4.666,8.722,3.853,2.63,4.006,3.635,5.682,2.038,4.886,1.944,8.151,2.083,2.178,2.524,0,0,7.159,5.634,2.97,5.441,0,2.221,2.729,0.947,4.388,3.979,1.892,1.803,0,2.383,6.92,5.159,3.126,6.691,2.666,5.175,5.178,4.481,1.637,6.223,4.633,5.816,1.419,4.292,3.428,2.846,0,7.377,3.035,3.06,3.203,4.976,3.044,12.418,5.439,4.192
00:bin_000030,5.142,7.713,16.237,6.981,8.863,5.902,4.062,3.796,0.752,4.659,5.575,4.778,6.961,9.273,1.729,0,9.775,5.455,6.23,9.748,0,5.517,5.402,5.341,3.19,4.274,2.89,7.327,10.404,13.497,3.871,4.954,7.145,6.256,10.808,3.237,7.836,4.163,15.729,3.005,5.782,7.978,0,0,9.818,10.96,4.321,5.601,0,5.296,6.721,2.028,8.092,7.006,3.762,6.243,4.889,6.044,4.482,7.597,9.747,4.642,5.234,12.52,5.818,4.276,5.317,8.144,9.644,12.524,4.473,9.148,6.41,4.983,0,7.216,4.223,8.251,10.803,8.451,5.21,8.015,9.247,4.721
00:bin_000037,1.627,2.814,7.046,2.755,2.129,1.038,2.826,1.775,0,1.52,1.093,1.813,3.85,2.105,0.58,0,3.662,1.604,5.257,2.084,0,1.175,1.022,2.674,0.876,1.924,1.682,1.868,4.223,3.212,1.437,1.589,2.91,2.316,3.114,1.423,0,1.443,2.484,0,0,1.746,0,0,2.185,2.419,1.476,1.444,0,0,2.299,0,4.755,1.919,1.504,1.663,0,2.241,1.39,1.458,4.006,1.299,2.448,2.526,1.857,1.904,1.145,4.347,0,3.752,0,2.323,0,0,0,0,1.976,3.059,1.779,2.219,1.544,3.625,1.763,0
00:bin_000040,0,0,2.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705,0,0,0,0.961,0,0,0,1.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.293,0,1.294,0,0,0,0,0,0,0,0,0,0,1.494,0,0,0
00:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000052,0,0,0,2.706,0,0,0,0,0,1.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.019,0,0,0,0,0,0,0.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.147,0,0,0,0
00:bin_000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000057,0,0,1.127,0,0,1.282,1.094,0,0,0,0.982,0,0,0,0,0,0,0,0,0.749,0,0,1.328,0,0,0,0,0,0.737,1.295,0,0,0,0,0,0,0,0,1.453,0,0,0,0,0,1.844,0.907,0,0,0,7.504,0,0,0,0.986,0,0.957,0,0,0,0,0,0,0,0,0,0,0,0,0,1.458,0,0,0,1.184,0,0,0,0,0,0,0,0,0,0
00:bin_000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
