genome,M303654,M303679,M303663,M303639,M303640,M303652,M303647,M303659,M303644,M303638,M303678,M303672,M303667,M303675,M303676,M303668,M303677,M303637,M303673,M303650,M303651,M303661,M303665,M303648,M303670,M303674,M303645,M303656,M303635,M303671,M303658,M303641,M303681,M303662,M303666,M303660,M303649,M303657,M303653,M303634,M303646,M303643
D300242:bin_000001,0,2.763,0,0,0,1.975,0,0,0,0,0,0,2.697,0,0,0,0,0,0,0,0,0,0,2.057,2.172,1.665,0,0,0,2.496,0,0,0,0,0,1.8,0,0,0,0,0,1.754
D300242:bin_000002,24.97,20.555,9.069,0,13.707,15.032,1.601,0,1.192,1.157,2.375,12.646,13.701,24.879,12.726,0,7.501,0,4.375,8.321,3.871,6.778,36.746,24.098,18.23,12.361,24.366,6.591,0,29.776,0,3.694,0,9.176,8.931,15.044,6.273,0,0,0,3.737,9.808
D300242:bin_000003,0,4.763,0,0,0,0,0,0,0,0,1.538,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.456,0,0,0,0,0,0
D300242:bin_000023,8.525,27.854,16.689,0,9.612,12.667,1.76,0,0,2.81,1.642,10.767,31.512,6.309,7.489,0,9.819,0,1.773,6.017,2.558,10.07,9.683,33.862,27.197,8.259,27.936,10.541,1.91,14.205,0,0,0,6.549,10.159,17.287,3.662,0,0,0,5.067,22.23
D300242:bin_000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300243:bin_000004,10.048,19.102,8.069,0,8.565,18.974,1.733,0,0,1.265,3.102,7.126,13.278,14.109,13.071,0,4.987,0,3.254,5.011,2.082,7.916,5.56,11.593,16.645,8.469,17.27,4.309,0,13.391,0,0,0,6.636,8.74,8.196,4.022,0,0,0,2.426,6.201
D300243:bin_000028,12.915,14.889,5.821,0,8.001,12.395,0,0,0,1.196,1.621,7.505,10.151,18.092,8.482,0,5.215,0,0,4.459,3.929,10.623,21.591,16.699,10.48,7.598,15.659,4.186,0,21.014,0,1.784,0,4.782,8.154,9.741,2.973,0,0,0,0,6.387
D300243:bin_000041,10.825,26.727,8.251,0,11.46,18.577,0,0,0,1.3,14.411,5.968,18.746,11.953,14.343,0,7.992,0,2.185,6.943,2.138,9.668,13.64,20.497,24.077,14.955,18.945,4.6,0,28.042,0,2.285,0,5.985,8.015,39.257,10.261,0,0,0,8.549,11.51
D300243:bin_000043,3.457,6.592,3.629,0,12.221,4.992,2.742,0,1.271,0,1.679,2.976,4.822,3.671,3.74,0,3.13,0,0,2.393,0,3.55,4.555,12.925,4.483,5.127,9.43,3.758,0,9.193,0,2.078,0,1.589,2.297,5.07,6.573,0,0,0,3.648,9.697
D300244:bin_000018,4.239,12.478,3.609,0,8.18,7.676,2.76,0,0,0,1.746,4.189,5.834,5.504,4.526,0,4.186,0,0,2.725,1.95,4.35,6.982,10.316,7.176,6.389,15.569,4.661,0,15.051,0,1.962,0,2.554,3.296,7.355,5.586,0,0,0,2.486,11.006
D300244:bin_000021,3.305,5.792,3.285,0,3.488,4.74,0,0,0,0,0,3.508,8.956,5.259,5.567,0,2.297,0,0,1.805,2.18,3.112,4.651,6.648,7.418,5.02,5.762,1.986,0,4.501,0,0,0,0,2.976,3.005,2.148,0,0,0,0,3.613
D300244:bin_000028,8.756,18.473,5.442,0,6.177,7.843,2.642,0,0,0,4.789,6.634,11.138,9.676,4.914,0,7.171,0,3.619,5.338,3.71,2.929,8.481,14.342,13.64,10.071,20.374,3.347,0,13.751,0,2.625,0,2.941,8.985,12.935,4.604,0,0,0,1.711,7.086
D300245:bin_000010,10.754,45.214,5.699,0,14.776,13.836,3.085,1.958,1.407,1.507,6.133,7.028,24.072,19.029,20.489,0,10.109,0,2.015,10.077,4.728,11.663,9.95,23.334,25.224,11.006,24.957,5.772,1.556,46.952,0,2.717,0,7.74,10.9,13.426,12.824,1.472,0,0,9.152,20.212
D300245:bin_000013,0,1.874,1.647,0,0,2.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300245:bin_000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300245:bin_000027,2.054,7.051,1.597,0,2.161,4.029,1.926,0,0,0,5.132,2.294,2.137,2.734,1.896,0,2.855,0,0,0,0,0,3.033,5.482,6.74,2.45,7.774,0,0,6.756,0,0,0,1.898,2.759,8.419,3.681,0,0,0,0,3.229
