genome,M305503,M305392,M305364,M305409,M305461,M305387,M305497,M305393,M305401,M305491,M305495,M305478,M305391,M305395,M305500,M305492,M305460,M305498,M305485,M305501,M305462,M305370,M305399,M305373,M305380,M305494,M305480,M305465,M305468,M305476,M305467,M305479,M305394,M305369,M305504,M305473,M305371,M305463,M305482,M305389,M305402,M305368,M305405,M305388,M305471,M305472,M305367,M305483,M305383,M305408,M305378,M305375,M305486,M305379,M305386,M305466,M305484,M305403,M305372,M305400,M305382,M305365,M305499,M305377,M305398,M305470,M305397,M305496,M305488,M305475,M305490,M305381,M305507,M305406,M305410,M305407,M305404,M305469,M305374,M305384,M305506,M305489,M305505,M305477
MPB:bin_000009,0,2.61,0,1.314,0,0,0,1.266,2.729,0,0,0,0,0,0,0,0,0,0,3,2.214,1.65,0,0,0,0,4.215,1.827,0,1.844,1.698,1.468,1.469,0,0,1.974,0,0,0,0,0,3.228,0,0,0,0,0,3.806,3.256,0,0,4.026,0,0,0,0,1.411,0,0,1.767,0,0,0,0,0,2.104,0,0,0,0,0,1.01,2.1,0,0,0,0,0,1.636,3.764,0,1.438,0,0
MPB:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000016,4.58,30.599,12.529,18.281,4.618,5.739,11.952,14.629,52.61,26.077,35.584,14.938,21.514,10.656,18.435,21.974,14.626,12.281,5.539,75.738,53.991,56.661,12.438,3.604,9.342,25.948,83.973,20.458,7.857,58.668,27.325,54.653,28.578,27.601,0,27.105,18.883,8.2,0,43.225,0,33.954,18.045,5.584,17.26,23.151,1.311,66.419,52.707,14.53,15.081,85.138,4.986,16.975,1.386,32.026,19.127,1.742,11.577,21.494,2.464,12.307,8.653,26.198,18.479,17.838,15.866,21.484,9.448,2.229,15.97,7.775,41.564,20.844,9.186,10.614,5.348,7.165,24.522,33.497,16.158,12.01,4.44,0
MPB:bin_000017,0,2.684,0,1.886,0,0,0,2.482,5.042,1.606,2.264,0,1.798,0,0,1.684,0,0,0,5.158,5.641,3.285,0,0,0,0,5.753,2.626,0,1.834,4.954,2.864,3.926,2.023,0,3.097,2.648,0,0,0,0,5.243,0,0,1.717,2.3,0,6.664,5.474,1.611,1.636,7.817,0,1.356,0,1.339,2.728,0,0,3.483,0,1.37,0,2.42,0,3.083,1.642,1.581,0,0,2.069,0,3.019,0,0,0,0,0,3.323,5.511,0,2.124,0,0
MPB:bin_000019,4.98,15.532,18.217,11.266,7.299,5.804,5.819,10.585,20.907,16.312,8.769,3.436,9.999,11.574,5.705,15.356,2.826,4.919,3.12,31.781,24.463,43.242,6.081,4.122,2.752,20.318,42.377,21.439,3.788,11.525,13.983,15.077,7.123,8.71,0,18.679,26.44,0,0,13.226,0,11.664,16.412,9.564,13.563,9.616,0,19.913,26.344,2.16,9.665,47.261,3.968,14.448,5.081,6.829,10.498,0,4.445,17.522,1.585,6.168,4.845,21.292,14.34,7.404,5.945,13.47,5.323,1.199,4.966,3.786,12.875,5.843,4.803,4.328,2.353,4.198,7.942,16.006,5.634,5.693,5.046,0
MPB:bin_000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.275,0,0,0,0
MPB:bin_000026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.643,1.7,1.435,0,0,0,0,1.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.073,0,0,0,0,0,0,1.361,0,0,0,0
MPB:bin_000040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000041,0,1.467,0,2.059,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,1.552,1.548,1.776,0,0,0,0,1.62,0,0,0,1.333,0,0,0,0,1.713,0,0,0,0,0,1.574,0,0,0,0,0,3.262,2.494,0,0,2.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.765,0,0,0,0
MPB:bin_000042,5.917,12.377,7.319,20.294,5.969,4.626,7.815,14.332,33.538,15.707,8.531,9.251,15.591,9.07,11.438,11.313,6.515,7.458,0,43.125,29.102,17.087,9.837,2.505,7.203,10.333,45.915,20.358,8.098,24.251,16.925,23.238,13.155,11.194,0,21.005,4.467,6.244,0,7.273,0,15.361,6.328,5.442,11.958,15.228,0,52.529,31.731,6.958,8.82,44.242,6.783,9.653,2.653,9.551,10.721,0,7.012,18.73,0,7.209,11.565,15.817,8.762,12.739,9.883,11.89,3.528,3.491,12.607,2.566,26.396,7.513,3.67,5.678,3.275,6.964,11.925,20.64,8.756,10.136,3.013,0
MPB:bin_000044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529,0,0,0,0,0
MPB:bin_000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000049,4.357,30.912,12.901,17.942,4.436,4.854,6.894,15.851,35.263,15.982,13.248,10.789,12.051,9.511,13.376,13.065,9.64,5.522,1.667,43.739,32.425,43.742,7.496,3.172,3.953,11.121,50.312,19.273,3.403,24.812,33.47,24.561,26.043,15.605,0,30.321,16.738,4.018,0,6.065,0,40.572,7.521,7.337,9.367,13.549,0,51.287,49.434,10.461,11.255,57.362,3.315,13.168,2.031,12.865,15.573,0,11.94,31.23,2.784,11.68,11.724,20.631,7.757,25.212,10.647,14.133,5.884,1.614,16.649,8.63,28.335,6.274,3.715,5.609,3.62,3.898,20.693,46.155,6.673,10.1,1.966,0
MPB:bin_000050,0,0,0,2.492,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,4.783,0,0,0,0,0,0,3.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.879,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000051,1.7,11.797,2.801,10.684,1.443,2.184,2.627,9.574,17.942,6.259,4.859,3.63,7.601,2.426,5.413,3.895,2.869,2.078,0,16.078,15.484,10.728,3.185,0,1.932,4.655,16.041,6.33,2.401,8.295,14.643,9.009,12.234,6.295,0,11.156,3.251,1.586,0,2.697,0,18.403,2.965,4.383,3.43,6.454,0,22.219,17.757,4.199,5.489,23.151,1.426,5.758,0,4.776,10.185,0,5.105,12.094,0,5.695,2.293,6.654,2.483,9.253,3.154,5.172,1.68,0,7.085,1.703,11.909,2.238,0,2.035,0.958,2.169,12.174,16.747,2.409,6.685,0,0
MPB:bin_000052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000055,1.894,4.189,0,5.258,0,0,2.516,3.186,9.058,4.866,2.473,3.053,2.412,0,0,0,2.802,2.581,0,8.509,7.176,4.422,3.265,0,0,2.536,9.967,3.537,0,4.628,7.731,7.845,4.589,3.817,0,8.099,0,2.488,0,2.159,0,5.537,0,0,4.789,5.497,0,11.264,6.118,0,3.501,8.466,0,2.735,0,2.737,3.155,0,0,5.213,0,1.87,3.023,3.282,0,4.067,2.137,3.564,0,0,3.657,0,8.055,0,0,0,0,2.521,3.785,5.721,0,4.011,0,0
MPB:bin_000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000063,2.24,3.976,0,3.8,0,0,3.239,3.652,8.802,4.44,2.025,2.28,2.335,1.669,0,2.92,2.03,0,0,15.805,8.018,6.264,0,0,0,3.01,7.356,5.062,2.142,3.724,9.08,5.581,3.371,2.643,0,9.661,0,0,0,1.836,0,6.059,3.481,3.237,4.106,12.126,0,13.104,6.312,0,0,13.249,0,2.781,0,2.878,2.85,0,0,3.692,0,3.651,2.334,3.502,2.803,4.176,2.99,3.875,1.979,0,2.457,0,6.001,0,1.513,0,0,2.625,2.947,4.383,2.459,4.077,0,0
MPB:bin_000064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000066,0,3.738,2.449,2.825,0,0,1.432,2.548,4.812,5.948,1.375,1.88,1.978,0,0,2.236,1.399,1.983,0,8.819,6.289,7.666,1.388,2.482,0,3.231,8.673,1.857,0,5.923,1.707,4.884,5.278,2.253,0,4.388,1.767,0,0,1.422,0,2.97,1.765,1.244,1.487,1.943,1.626,8.874,8.267,3.18,1.808,7.812,0,4.075,0,0,1.92,0,2.669,4.37,0,1.209,0,4.692,1.869,2.416,1.451,0,0,0,0,2.148,3.748,2.605,1.731,0,0,0,1.572,5.017,2.227,1.81,1.63,0
