genome,M304009,M303986,M303980,M303994,M303974,M304017,M303985,M303973,M304008,M304002,M303993,M303970,M303971,M303979,M304015,M304006,M303983,M303977,M303972,M303999,M303991,M303978,M303989,M303984,M303998,M303976,M303987,M304003,M304016,M304000,M304013,M303996,M303990,M304005,M304011,M303988,M304001,M303997,M304004,M304014,M303982,M304012
D300246:bin_000052,18.053,0,4.371,2.503,0,2.977,2.76,6.05,0,0,0,44.349,0,3.96,2.207,0,5.097,5.491,3.611,5.246,0,3.045,0,6.845,4.507,11.53,0,0,8.098,5.489,9.427,0,4.267,0,3.897,0,0,20.064,3.928,3.544,0,1.746
D300247:bin_000006,0,0,18.928,9.852,3.135,40.109,12.377,52.641,0,0,3.305,47.705,6.933,17.665,12.451,6.937,19.132,35.23,11.494,24.103,0,18.29,15.479,29.094,14.008,36.792,7.979,1.816,52.822,15.606,55.504,0,27.077,2.016,22.864,3.914,0,63.183,13.232,41.477,3.757,7.868
D300248:bin_000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300248:bin_000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300248:bin_000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300248:bin_000023,0,0,6.255,0,0,0,0,2.213,0,0,0,13.845,0,0,0,0,0,2.364,0,6.012,0,3.694,0,3.655,5.315,3.144,0,0,3.577,3.531,5.795,0,0,0,0,0,0,6.874,0,1.854,0,0
D300248:bin_000024,10.088,0,98.453,31.082,14.042,110.183,39.664,120.954,0,0,25.394,145.347,51.304,126.046,36.365,40.774,150.885,115.726,54.993,123.514,8.932,114.69,39.911,117.707,50.818,349.521,35.404,13.861,135.669,96.733,175.821,4.237,122.362,9.087,136.814,26.635,3.248,320.274,49.72,158.834,35.279,53.83
D300249:bin_000005,8.442,0,68.766,83.487,12.254,133.962,32.646,143.34,0,0,20.946,139.874,16.449,90.571,29.197,33.963,108.428,110.694,53.35,92.912,7.318,82.546,58.669,115.783,79.447,180.581,26.889,9.693,129.455,81.307,184.509,3.549,103.989,4.724,103.694,23.45,0,261.353,48.621,128.788,24.439,26.069
D300249:bin_000046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300250:bin_000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300250:bin_000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300250:bin_000024,0,0,8.521,15.503,1.592,16.992,8.637,26.167,0,0,2.421,22.298,3.621,9.102,4.044,5.175,20.725,15.255,10.612,21.639,0,12.254,12.927,26.872,11.677,44.914,3.597,0,29.116,10.829,34.053,0,24.656,1.718,20.383,3.773,0,31.374,9.942,20.102,2.261,5.467
D300251:bin_000015,0,0,3.819,0,0,3.809,0,5.444,0,0,0,5.958,0,5.277,0,0,2.44,4.067,0,0,0,4.51,0,4.13,2.644,5.389,2.504,0,6.177,2.869,6.445,0,4.001,0,3.311,0,0,9.894,0,7.343,0,0
D300251:bin_000040,0,0,5.817,6.196,0,8.714,3.095,10.721,0,0,0,9.419,3.311,10.27,2.151,2.031,7.498,6,2.21,4.517,0,5.377,3.922,6.28,3.584,18.029,3.214,0,10.486,3.841,13.194,0,12.416,0,6.743,3.38,0,27.08,3.133,15.042,1.506,0
D300252:bin_000001,2.014,0,16.321,25.24,3.14,42.884,5.303,42.096,0,0,2.505,43.412,8.829,31.506,7.225,13.756,24.424,23.419,13.789,18.695,3.552,29.178,12.513,26.156,44.885,97.384,9.928,0,37.8,13.388,63.233,2.043,31.91,2.404,34.387,8.873,0,91.184,6.926,53.889,5.358,6.813
D300252:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300252:bin_000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300252:bin_000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300253:bin_000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300253:bin_000007,0,0,2.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300253:bin_000040,0,0,13.04,12.591,1.954,23.712,5.395,29.254,0,0,0,31.668,7.246,19.18,4.237,8.391,17.175,25.601,5.131,12.813,0,15.917,4.505,15.761,11.341,60.352,2.727,0,34.86,9.466,35.07,0,16.269,0,20.549,2.824,0,53.068,3.134,25.684,2.598,2.287
D300254:bin_000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300254:bin_000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300254:bin_000019,0,0,0,0,0,5.807,0,5.946,0,0,0,6.607,0,0,0,0,0,3.846,0,0,0,0,0,0,0,0,0,0,4.883,0,6.238,0,0,0,0,0,0,7.543,0,0,0,0
D300254:bin_000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300255:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300255:bin_000023,7.13,0,4.714,4.514,0,5.723,3.756,11.274,0,0,1.66,46.684,0,5.463,3.141,0,7.296,5.293,2.299,8.094,0,4.595,0,6.22,10.858,25.384,0,0,8.268,5.108,17.449,0,4.307,0,4.743,0,0,62.693,3.571,6.118,2.683,3.969
D300256:bin_000008,0,0,13.918,19.048,2.78,11.161,4.19,22.274,0,0,2.729,20.836,3.861,18.803,4.236,7.925,15.604,10.919,6.727,13.897,0,13.206,7.343,13.258,9.7,54.474,8.242,0,22.551,9.676,21.918,0,18.217,1.855,17.558,4.049,0,75.86,8.069,28.144,6.584,4.101
D300256:bin_000021,0,0,0,0,0,0,0,2.395,0,0,0,3.109,0,0,0,0,0,0,0,0,0,2.054,0,0,0,3.691,0,0,0,0,4.661,0,0,0,0,0,0,4.002,1.713,0,0,0
D300256:bin_000037,13.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.438,4.221,2.766,0,1.906,0,0,0,3.717,62.171,3.696,0,0,33.875,0,13.067,0,0,0,0,0,0,0,3.66,2.915,0,0
D300257:bin_000004,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300257:bin_000017,0,0,14.237,4.627,0,4.847,7.881,6.182,0,0,3.23,27.667,3.679,3.899,7.42,2.379,6.716,14.412,4.243,69.642,0,6.627,0,10.815,27.435,8.827,2.422,0,11.195,5.509,19.763,0,9.006,1.704,8.637,2.274,0,9.954,4.811,14.517,2.22,13.784
D300257:bin_000026,0,0,4.103,4.867,0,4.205,0,6.668,0,0,0,6.726,0,6.179,2.017,0,5.216,5.463,0,4.499,0,8.563,0,3.966,0,13.173,3.245,0,8.303,2.476,10.353,0,7.474,0,5.277,0,0,30.814,0,6.936,1.549,3.133
D300257:bin_000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300258:bin_000001,0,0,3.363,8.255,0,9.876,0,10.063,0,0,0,7.878,0,10.428,0,0,3.359,4.503,0,2.931,0,9.342,2.68,4.592,7.899,5.431,5.829,0,6.947,0,6.055,0,3.162,0,6.084,1.946,0,29.658,1.884,8.813,1.466,3.108
D300258:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300258:bin_000012,0,0,2.088,4.835,0,2.321,0,3.411,0,0,0,3.983,0,4.105,0,1.948,4.322,2.978,2.621,3.995,0,4.276,0,6.535,0,6.392,0,0,5.244,1.975,6.899,0,4.209,0,3.461,0,0,15.822,1.605,6.733,0,0
D300258:bin_000053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300259:bin_000025,0,0,9.346,4.035,0,12.606,4.83,19.416,0,0,3.103,15.922,4.654,11.873,3.83,3.538,14.103,14.365,6.358,15.496,0,10.401,6.549,19.325,8.729,36.594,4.02,1.887,22.356,10.506,26.487,0,19.968,0,15.545,2.93,0,41.518,8.064,28.724,4.321,4.325
