genome,M303482,M303448,M303484,M303481,M303468,M303460,M303485,M303458,M303444,M303478,M303442,M303462,M303464,M303479,M303483,M303480,M303475,M303456,M303470,M303476,M303471,M303465,M303486,M303466,M303449,M303459,M303453,M303452,M303450,M303455,M303467,M303488,M303443,M303446,M303487,M303474,M303454,M303469,M303461,M303473,M303457,M303445
D300242:bin_000001,4.088,0,31.327,22.372,5.187,2.432,16.857,6.388,0,3.258,8.606,0,22.074,11.363,6.731,9.707,12.442,21.251,4.523,24.626,3.081,9.471,36.171,7.939,13.95,17.272,10.514,7.688,9.977,33.259,0,19.939,8.99,13.577,20.034,0,9.68,3.049,16.475,0,12.936,0
D300242:bin_000002,2.248,0,53.013,34.666,9.677,0,70.649,5.911,0,4.208,8.36,0,12.684,7.786,20.346,2.475,8.021,12.237,14.705,41.072,3.137,13.3,29.511,9.283,5.733,4.074,15.548,11.447,7.986,29.122,0,14.055,19.465,20.814,25.174,3.272,4.625,7.299,36.094,0,9.53,0
D300242:bin_000003,0,0,10.203,2.111,2.436,0,2.05,0,0,0,0,0,1.155,0,1.606,0,0,0,0,5.967,0,1.232,2.214,0,1.897,0,1.309,0,0,1.89,0,2.382,0,2.111,0,0,2.03,0,0,0,0,0
D300242:bin_000023,1.215,0,41.961,34.719,7.957,0,49.167,4.373,0,9.089,12.011,0,20.726,10.07,12.408,4.303,13.272,21.682,3.15,37.616,3.413,24.107,36.736,11.044,12.016,10.234,13.961,5.766,5.94,23.924,0,30.755,10.634,14.821,26.913,0,7.201,12.621,52.661,0,13.786,0
D300242:bin_000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300243:bin_000004,0,0,18.763,14.389,7.571,0,29.173,1.293,0,1.873,5.85,0,8.272,6.86,11.77,3.308,4.41,9.458,5.242,10.915,2.235,5.174,19.576,4.362,5.198,4.126,8.591,3.69,5.6,15.838,0,22.64,5.205,17.133,8.985,0,6.09,5.867,25.926,0,5.104,0
D300243:bin_000028,14.573,0,53.241,52.694,15.483,0,43.482,9.939,0,14.648,23.983,0,20.8,11.785,45.446,8.718,15.593,55.068,13.227,45.445,11.691,13.491,44.649,28.312,7.814,6.959,17.7,13.675,13.844,52.19,0,74.634,28.345,23.892,37.703,1.657,15.8,10.415,58.843,0,17.692,0
D300243:bin_000041,1.891,0,11.988,9.334,2.312,0,18.584,2.078,0,0,3.379,0,7.024,3.353,4.752,2.201,4.908,10.211,4.532,26.541,2.03,3.237,13.347,3.777,2.58,2.519,4.282,2.333,3.082,14.328,0,19.799,4.612,6.017,7.001,0,4.162,3.188,15.753,0,3.549,0
D300243:bin_000043,0,0,23.898,24.936,9.903,1.515,11.716,5.635,0,1.839,4.43,0,24.482,10.469,9.668,5.34,8.498,22.987,2.934,24.807,2.83,4.083,16.182,6.111,11.252,11.687,7.546,4.954,6.427,19.881,0,8.876,7.614,8.53,14.929,0,5.955,8.79,42.141,0,6.382,0
D300244:bin_000018,1.785,0,19.317,20.955,6.611,0,14.68,4.444,0,1.889,4.355,0,13.748,6.731,5.373,5.009,4.901,10.251,4.172,18.202,4.067,5.72,16.161,4.869,6.685,6.875,7.498,5.016,4.612,17.243,0,10.752,5.932,10.436,16.158,0,5.267,8.376,34.666,0,5.017,0
D300244:bin_000021,2.967,0,17.807,10.308,2.709,0,14.463,0,0,1.62,4.161,0,5.61,8.529,8.431,1.823,2.968,10.883,1.875,16.714,1.67,3.082,15.245,3.506,2.001,1.612,4.922,0,3.212,11.417,0,16.558,8.36,6.441,9.552,0,2.374,1.396,17.621,0,5.799,0
D300244:bin_000028,1.192,0,17.008,21.175,4.496,1.559,6.533,2.052,0,1.449,4.107,0,15.226,5.882,6.532,3.266,4.518,8.866,2.259,16.338,0,4.696,17.009,4.073,7.739,5.651,5.112,4.801,4.473,6.542,0,11.783,4.25,12.157,9.876,0,4.692,3.764,13.647,0,3.846,0
D300245:bin_000010,6.427,0,61.347,85.51,17.542,2.242,78.259,10.705,0,6.99,19.444,0,36.541,31.691,64.913,19.761,30.242,39.352,18.24,106.557,16.298,20.75,65.034,22.166,14.857,15.285,31.799,22.566,14.993,108.608,0,83.186,39.236,19.088,49.487,4.1,18.007,30.895,82.707,0,18.775,0
D300245:bin_000013,2.046,0,27.202,12.391,2.043,0,8.976,3.539,0,0,8.29,0,5.134,6.871,6.752,3.529,1.509,9.019,2.91,16.558,0,5.028,13.129,4.133,1.359,2.568,9.144,3.023,2.918,14.369,0,9.661,5.369,4.778,20.782,0,2.19,3.582,13.976,0,12.508,0
D300245:bin_000018,1.223,0,8.774,9.397,2.178,0,6.637,1.702,0,1.317,0,0,4.27,1.57,2.693,0,1.806,4.184,2.504,8.707,1.358,1.556,7.248,1.926,0,2.439,1.42,2.137,2.096,13.844,0,8.823,1.853,1.435,5.461,0,1.876,1.978,10.723,0,0,0
D300245:bin_000027,4.607,0,27.052,10.689,3.886,0,51.76,1.912,0,4.111,2.283,0,5.382,2.677,11.812,2.325,3.018,8.503,9.879,45.755,4.537,8.501,26.628,8.673,3.305,2.715,4.76,4.608,2.065,19.054,0,67.297,7.527,2.386,5.989,0,3.675,10.339,18.486,0,2.831,0
