genome,M303961,M303950,M303938,M303952,M303925,M303933,M303966,M303930,M303935,M303959,M303955,M303964,M303958,M303924,M303946,M303944,M303934,M303931,M303922,M303948,M303960,M303923,M303947,M303957,M303945,M303928,M303937,M303943,M303927,M303969,M303965,M303939,M303942,M303968,M303936,M303954,M303949,M303953,M303967,M303940,M303926,M303963
D300246:bin_000052,3.362,5.466,0,2.195,3.216,0,0,2.474,0,8.315,1.695,2.153,8.09,0,0,0,0,0,4.188,1.845,1.572,7.24,0,3.296,3.037,0,5.762,0,2.978,0,2.643,0,1.718,2.655,0,0,1.842,3.233,3.843,0,2.971,3.749
D300247:bin_000006,19.56,19.561,0,11.068,30.766,0,1.426,10.367,0,50.953,10.615,10.205,17.922,7.188,0,8.975,0,0,26.642,23.946,6.947,10.397,0,28.83,11.596,16.107,54.987,1.673,14,9.518,18.525,0,12.881,12.496,0,5.209,11.767,34.227,22.964,0,22.09,12.011
D300248:bin_000004,14.387,11.377,0,5.45,8.48,0,0,11.332,0,19.572,3.249,8.038,8.037,1.418,0,0,0,0,101.541,31.243,3.379,5.246,0,5.246,4.694,5.949,18.785,0,9.436,7.476,6.663,0,9.532,10.289,0,1.759,12.33,28.601,17.2,0,8.437,2.856
D300248:bin_000008,6.249,9.33,0,2.782,11.679,0,0,4.005,0,15.159,7.534,9.839,6.387,2.485,0,2.121,0,0,16.595,24.551,5.239,6.874,0,10.526,2.06,0,22.538,0,0,0,3.48,0,6.621,3.828,0,0,0,6.174,25.914,0,5.298,9.453
D300248:bin_000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300248:bin_000023,2.37,1.644,0,4.094,0,0,0,2.035,0,3.652,0,0,0,0,0,0,0,0,5.19,0,0,8.675,0,0,0,0,1.755,0,2.538,0,1.802,0,0,0,0,0,2.979,11.314,1.415,0,1.648,0
D300248:bin_000024,22.375,24.825,0,21.626,90.592,0,0,18.378,0,102.279,14.719,9.266,40.985,11.97,1.994,19.246,0,0,58.715,22.205,18.454,11.458,4.241,58.238,19.142,7.366,71.454,0,11.776,9.129,13.771,0,27.869,31.253,0,9.824,9.24,32.481,26.133,0,17.416,68.811
D300249:bin_000005,5.489,4.765,0,2.338,8.574,0,0,4.039,0,11.086,4.357,4.734,5.314,0,0,0,0,0,9.484,4.314,1.765,3.494,0,8.982,2.348,0,10.877,0,4.799,3.154,1.941,0,3.148,4.789,0,0,1.511,3.69,2.451,0,4.268,5.593
D300249:bin_000046,1.439,3.766,0,0,0,0,0,0,0,2.182,0,0,2.013,0,0,0,0,0,0,0,1.275,0,0,0,0,0,2.158,0,0,0,3.058,0,0,0,0,0,0,1.933,0,0,0,0
D300250:bin_000017,0,2.107,0,0,0,0,0,0,0,4.089,2.081,0,0,0,0,0,0,0,2.15,2.011,0,0,0,4.362,3.346,0,3.18,0,0,0,1.9,0,0,1.817,0,0,0,2.292,1.527,0,0,0
D300250:bin_000018,2.098,0,0,0,3.211,0,0,2.479,0,4.521,1.542,1.92,3.76,0,0,1.063,0,0,3.789,2.884,1.918,2.191,0,4.151,1.521,1.378,6.896,0,1.432,1.49,0,0,0,1.98,0,0,1.387,2.276,1.54,0,0,2.287
D300250:bin_000024,7.582,4.251,0,4.56,8.794,0,0,4.121,0,20.297,6.387,2.984,5.564,0,0,1.973,0,0,7.375,5.246,2.822,0,0,12.019,2.939,5.533,18.287,0,4.909,1.752,3.406,0,2.101,6.45,0,0,0,2.715,5.143,0,4.523,2.429
D300251:bin_000015,9.743,10.034,0,3.578,17.096,0,0,4.748,0,22.648,6.624,5.376,7.512,2.383,0,2.754,0,0,22.66,16.138,6.999,10.673,0,10.09,6.457,2.837,28.817,0,4.024,4.282,4.248,0,6.719,14.88,0,0,0,9.377,9.984,0,7.52,4.684
D300251:bin_000040,4.814,4.937,0,3.909,14.881,0,0,3.598,0,21.291,2.423,4.072,7.913,2.612,0,4.693,0,0,15.84,2.92,3.251,1.955,0,15.099,3.408,0,17.608,0,10.413,2.181,2.281,0,4.443,3.723,0,2.044,0,5.351,6.008,0,8.762,5.775
D300252:bin_000001,25.313,8.944,0,9.401,18.974,0,1.747,6.715,0,25.623,6.191,2.754,15.598,2.863,0,2.75,0,0,13.926,9.841,5.238,4.524,0,12.137,3.544,1.643,35.29,0,9.887,3.957,7.428,2.08,11.606,6.111,0,2.938,1.909,17.9,9.461,0,15.036,8.943
D300252:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300252:bin_000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
