genome,M303529,M303502,M303522,M303526,M303518,M303495,M303513,M303532,M303515,M303499,M303497,M303493,M303523,M303516,M303534,M303511,M303517,M303498,M303514,M303533,M303505,M303501,M303508,M303535,M303531,M303530,M303491,M303504,M303512,M303506,M303519,M303520,M303527,M303510,M303496,M303509,M303524,M303490,M303537,M303500,M303494,M303528
D300242:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999,0,0,0,0,0,0,0,0,0,0,0,0,0
D300242:bin_000002,0,0,15.988,6.826,11.409,12.682,25.651,0,2.866,4.592,43.265,0,6.858,3.142,5.946,0,0,3.282,38.653,0,0,7.338,0,3.594,32.904,20.966,0,5.951,42.835,4.662,0,0,1.637,0,8.83,0,10.825,5.669,17.08,23.032,17.576,0
D300242:bin_000003,0,2.547,28.664,5.433,10.045,15.323,6.683,0,27.615,27.278,15.58,1.611,36.788,15.137,2.37,1.933,2.224,30.434,25.863,0,0,1.597,1.453,8.239,3.768,2.724,0,4.381,39.071,11.812,0,1.447,0,0,13.53,2.813,2.723,16.157,49.199,22.452,15.494,0
D300242:bin_000023,0,0,0,1.547,0,0,2.217,0,0,0,27.302,0,0,0,0,0,0,0,2.15,0,0,1.439,0,0,0,0,0,0,4.181,0,0,0,0,0,0,0,0,0,0,1.589,0,0
D300242:bin_000025,0,0,1.77,1.797,2.697,2.933,2.308,0,2.248,2.69,4.889,0,2.101,2.245,0,1.905,0,0,3.509,0,0,0,0,1.434,0,0,0,0,4.921,1.465,0,0,0,0,0,0,0,6.066,0,6.28,4.475,0
D300243:bin_000004,0,1.211,4.104,3.026,2.289,4.431,3.648,0,2.052,1.837,13.424,0,5.468,3.839,0,3.433,0,1.954,4.985,0,0,2.201,0,1.256,3.499,1.868,0,1.646,6.601,3.891,0,0,0,0,1.689,0,2.245,0,5.562,11.34,6.969,0
D300243:bin_000028,0,0,0,0,0,0,0,0,0,0,2.821,0,0,0,0,0,0,0,1.962,0,0,0,0,0,0,0,0,0,1.803,0,0,0,0,0,0,0,0,0,0,0,0,0
D300243:bin_000041,0,2.184,11.737,6.834,13.051,15.226,6.849,0,14.049,6.345,42.339,1.833,40.687,9.292,0,12.493,2.923,6.461,26.75,0,0,7.343,0,10.96,17.981,6.077,14.971,4.562,12.398,5.617,0,7.19,0,0,8.162,0,3.468,7.499,16.843,57.174,25.515,0
D300243:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300244:bin_000018,0,0,4.704,1.395,1.676,3.185,2.245,0,3.737,0,7.43,0,3.68,3.012,0,0,0,2.695,3.883,0,0,2.65,0,0,0,2.234,0,1.473,3.395,0,0,0,0,0,1.821,0,1.367,3.101,6.871,5.868,2.615,0
D300244:bin_000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300244:bin_000028,0,0,4.044,0,1.957,1.582,1.719,0,7.529,0,2.741,0,5.944,1.498,0,1.776,0,1.43,1.694,0,0,0,0,0,2.329,0,0,0,2.282,4.595,0,0,0,0,0,1.281,1.271,1.75,3.756,4.69,1.64,0
D300245:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.057,0,0,0,0,0,0,0,0,0,0,0,0,0
D300245:bin_000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300245:bin_000018,0,0,1.38,0,0,0,0,0,1.198,0,0,0,2.606,0,0,0,0,1.357,0,0,0,0,0,0,0,0,0,0,0,0,0,2.588,0,0,0,0,0,0,1.646,4.061,0,0
D300245:bin_000027,0,0,3.419,1.922,2.753,2.993,2.386,0,4.105,2.037,11.782,1.248,3.383,1.524,0,1.669,0,2.404,6.628,0,0,1.594,0,2.671,3.664,2.233,3.62,0,2.857,0,0,5.778,0,0,3.101,0,0,2.251,5.305,5.29,3.474,0
D300245:bin_000045,0,2.6,4.477,6.196,5.824,12.009,13.465,0,0,2.787,62.642,3.341,4.631,1.868,2.029,11.893,0,6.184,12.784,0,0,3.513,0,2.83,7.418,21.644,2.136,2.335,31.878,2.816,0,0,0,0,17.245,0,2.556,10.798,4.616,28.628,16.989,0
D300246:bin_000002,0,0,5.971,1.64,3.562,5.66,4.61,0,6.795,0,22.471,1.577,7.247,4.27,2.769,6.383,2.077,6.098,9.245,0,0,1.859,0,0,6.443,4.687,46.129,4.422,7.719,2.88,0,5.634,0,0,2.587,0,0,5.166,8.506,12.758,5.991,0
D300246:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300246:bin_000011,0,1.778,13.812,15.406,7.584,6.969,12.045,0,10.438,3.456,35.235,3.631,14.498,4.216,1.691,0,0,3.74,18.153,0,0,3.542,1.358,0,1.4,2.16,1.961,5.711,20.748,15.542,0,0,0,0,8.362,0,3.568,8.14,13.279,26.41,11.239,0
D300246:bin_000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300246:bin_000044,0,0,0,2.793,0,5.194,3.278,0,0,2.853,34.213,0,0,0,0,1.641,0,0,5.079,0,0,0,0,2.021,0,0,0,0,21.819,0,0,0,0,0,0,0,0,0,5.939,13.924,7.833,0
