genome,M305077,M305107,M304998,M305006,M305016,M305102,M305085,M304997,M304986,M305090,M305014,M305027,M304990,M305003,M305089,M304996,M305000,M304989,M305004,M304991,M305095,M305010,M304985,M305087,M304995,M305120,M305081,M305123,M305117,M305099,M305079,M305098,M305105,M304999,M305018,M305113,M304987,M305076,M304980,M304983,M305122,M305093,M305022,M305020,M305007,M305094,M305025,M305021,M305091,M305101,M305078,M305104,M305009,M305111,M305002,M305023,M305012,M305115,M305114,M305119,M305017,M305116,M304984,M305100,M305110,M305026,M305080,M304988,M305088,M304993,M305011,M305019,M305013,M305121,M305096,M304981,M305108,M305092,M305082,M305008,M305109,M305103,M304992,M305084
00:bin_000002,2.419,2.805,0,0,3.128,3.949,2.293,0,3.326,4.102,3.008,2.613,2.997,2.674,4.452,0,2.21,5.587,0,0,3.789,0,0,0,2.936,1.547,3.643,0,0,0,2.425,0,2.737,0,0,2.327,0,2.006,13.089,3.534,3.082,2.828,3.259,2.881,4.261,2.67,3.05,4.559,0,0,0,6.294,2.318,2.18,0,0,12.466,1.707,2.459,2.644,0,2.915,0,4.848,2.25,0,4.828,3.057,0,2.783,0,0,2.624,0,2.002,2.223,0,5.066,4.152,2.968,0,3.498,3.369,0
00:bin_000004,6.958,7.704,14.223,4.647,42.501,13.319,9.609,6.255,10.426,3.742,11.669,7.954,8.411,6.52,4.226,9.179,5.081,6.314,10.855,4.368,21.923,6.754,9.763,7.358,11.437,8.614,10.216,0,4.91,3.215,13.612,0.974,16.389,5.503,8.564,7.218,12.646,6.436,42.884,4.563,8.342,2.318,8.672,6.761,6.621,7.35,10.994,16.967,9.158,0,0,12.126,10.35,6.184,4.149,7.745,14.087,4.183,6.133,7.78,0,17.484,0,12.249,4.426,6.156,10.095,11.841,1.723,7.715,0,9.149,7.389,0,8.145,10.429,5.443,9.667,22.026,7.423,4.528,7.496,14.08,2.338
00:bin_000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000015,0,0,0,1.899,0,3.199,0,0,3.793,0,15.63,0,2.88,0,1.761,0,2.335,2.722,0,0,2.952,2.725,2.184,0,3.751,4.476,0,0,0,0,0,0,1.559,0,0,2.144,2.71,0,9.078,0,0,1.897,0,0,0,1.865,2.828,2.443,1.608,0,0,3.216,2.149,0,0,0,0,0,2.725,0,0,2.344,0,4.06,2.05,2.178,0,0,0,0,0,0,4.704,0,1.692,0,1.661,3.601,2.308,0,3.935,1.514,0,1.842
00:bin_000024,0,0,0,0,0,4.399,1.693,0,0,0,2.899,0,0,0,3.039,0,0,0,0,0,0,0,0,2.307,0,1.53,1.842,0,0,0,0,0,2.089,0,0,0,0,1.891,2.861,0,0,0,0,0,0,0,0,0,1.82,0,0,2.149,0,0,0,0,0,0,0,0,0,2.627,0,2.745,0,0,1.925,0,0,2.561,0,0,0,0,0,2.233,0,3.202,2.316,0,0,0,0,0
00:bin_000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000037,0,0,0,0,0,0,0,0,0,3.473,0,0,0,0,0,0,0,0,0,0,2.363,0,0,0,0,0,0,0,0,0,0,0,1.495,0,0,0,0,0,3.167,0,0,0,0,0,0,0,0,0,0,0,0,1.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.722,0,0,0,0,0
00:bin_000040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.615,0,0,0,0,0,2.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000043,0,0,0,0,0,2.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
