genome,M303591,M303603,M303598,M303588,M303594,M303622,M303626,M303605,M303632,M303619,M303599,M303618,M303623,M303608,M303610,M303621,M303620,M303617,M303607,M303602,M303616,M303601,M303586,M303613,M303593,M303597,M303604,M303600,M303631,M303625,M303587,M303592,M303589,M303615,M303612,M303595,M303629,M303614,M303633,M303606,M303628,M303627
D300242:bin_000001,2.307,0,2.221,0,0,3.166,2.566,0,4.765,2.046,2.188,0,1.659,0,0,2.756,0,0,1.68,2.67,0,0,0,3.666,8.109,1.608,2.834,3.671,5.576,1.592,3.087,7.37,3.884,0,2.753,5.281,5.16,1.998,3.687,7.23,1.645,0
D300242:bin_000002,16.164,0,23.996,6.796,8.803,19.11,15.848,3.927,56.948,19.815,14.444,0,9.873,5.348,0,31.138,2.455,6.393,19.162,25.525,4.714,0,0,16.997,67.831,10.654,23.274,47.495,49.556,7.753,16.427,50.983,47.838,14.39,9.833,38.778,76,42.371,65.957,52.001,7.216,7.024
D300242:bin_000003,12.903,0,12.966,4.27,2.261,8.812,3.502,2.024,12.094,5.065,11.42,0,3.969,1.901,0,7.608,0,2.636,4.487,17.185,2.372,0,0,10.164,45.639,13.973,11.642,6.002,9.494,4.789,7.939,15.257,9.903,8.223,6.797,33.766,27.948,12.686,41.895,17.21,1.681,1.677
D300242:bin_000023,3.855,0,9.064,1.785,3.672,9.276,5.952,1.829,20.108,5.03,5.613,0,3.301,0,0,7.889,0,2.009,3.891,8.561,0,0,0,4.972,23.766,5.703,13.322,7.659,21.344,2.894,8.741,16.988,15.367,0,2.242,13.094,25.607,16.671,17.245,15.509,2.916,4.891
D300242:bin_000025,1.715,0,0,0,0,0,0,0,2.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.762,0,0,0,0,0,0,2.866,0,0,0,2.359,0,0,0,0,0,0
D300243:bin_000004,2.634,0,2.66,0,0,2.238,2.436,0,11.73,6.04,2.337,0,1.284,0,0,4.58,0,0,1.414,6.524,0,0,0,5.8,25.887,2.227,2.685,1.651,6.056,0,2.436,7.967,5.338,0,1.533,8.499,11.962,4.185,6.104,9.672,1.785,0
D300243:bin_000028,9.26,0,12.824,2.193,2.055,7.844,6.247,0,18.268,4.863,4.635,0,3.037,0,0,10.934,0,3.058,8.801,6.244,0,0,0,6.295,22.646,2.925,7.66,14.332,14.219,2.563,5.103,20.579,10.844,5.12,2.09,10.704,27.137,11.239,21.418,19.55,0,3.765
D300243:bin_000041,4.557,0,4.431,1.474,2.545,5.215,3.276,1.483,11.532,4.782,3.756,0,1.89,0,0,4.238,0,0,2.528,7.599,0,0,7.645,6.369,22.687,1.962,7.547,3.812,9.145,3.692,5.512,11.72,6.685,0,4.557,10.794,13.606,7.011,8.789,9.215,2.164,2.123
D300243:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300244:bin_000018,4.202,0,6.176,1.958,2.335,5.016,4.294,1.928,12.04,7.484,3.627,0,1.385,0,0,8.074,0,1.745,5.804,6.246,0,0,3.707,3.987,15.17,2.3,7.263,4.277,13.312,3.523,4.748,12.812,9.272,2.836,2.035,12.212,14.927,11.308,10.123,12.305,2.45,1.974
