genome,M303211,M303217,M303221,M303238,M303244,M303245,M303213,M303239,M303208,M303223,M303220,M303246,M303236,M303237,M303202,M303204,M303248,M303219,M303216,M303207,M303224,M303228,M303249,M303214,M303233,M303206,M303231,M303243,M303230,M303210,M303225,M303234,M303241,M303235,M303242,M303209,M303229,M303203,M303222,M303232,M303212,M303226
D300242:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300242:bin_000002,0,13.752,3.568,0,0,14.015,7.794,0,0,0,0,0,7.289,0,13.647,0,21.678,6.346,7.933,33.194,20.653,28.264,13.039,0,20.34,11.349,22.004,31.266,32.895,11.898,2.674,27.038,3.269,22.52,0,0,19.594,0,10.65,31.905,5.957,19.707
D300242:bin_000003,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,3.104,0,0,0,0,0,0,0,0,3.041,0,0,0,0,0,0,0,0,0,0,3.016,0,0,0
D300242:bin_000023,0,3.45,2.734,0,0,6.363,6.241,0,2.833,0,0,0,5.824,0,11.247,0,10.027,2.398,4.368,6.372,7.722,11.871,7.698,0,8.676,4.945,6.426,18.041,7.926,5.932,3.11,4.167,4.341,8.529,0,0,16.603,0,10.387,12.46,14.779,6.648
D300242:bin_000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300243:bin_000004,0,6.081,0,0,0,7.49,3.434,0,3.387,0,0,0,0,0,8.242,0,7.806,3.491,3.756,6.466,5.737,9.34,7.859,0,9.445,6.265,10.801,22.396,7.748,7.721,0,4.44,5.825,9.589,6.409,0,13.619,0,8.329,8.154,3.801,6.353
D300243:bin_000028,0,6.346,0,0,0,7.698,2.44,0,0,0,0,0,0,0,7.632,0,24.508,3.404,9.152,8.495,15.128,11.914,11.86,0,7.924,10.487,12.154,26.713,12.935,11.548,2.949,6.296,3.104,8.181,3.932,0,16.688,0,8.018,12.171,7.338,9.359
D300243:bin_000041,0,6.645,0,0,0,8.375,19.216,0,3.171,0,0,0,28.425,0,21.253,0,12.359,2.64,5.19,4.919,5.997,6.341,29.049,0,14.373,7.295,11.804,22.43,8.058,13.371,6.39,11.396,76.221,12.659,4.278,0,5.408,0,9.118,7.299,5.618,6.883
D300243:bin_000043,0,3.297,0,0,0,2.199,0,0,0,0,0,0,6.839,0,3.322,0,4.831,0,2.115,4.338,3.288,6.742,8.131,0,5.683,3.337,0,7.808,5.515,3,0,5.27,5.657,5.977,0,0,0,0,2.476,0,1.875,3.527
D300244:bin_000018,0,4.141,0,0,0,2.963,2.158,0,0,0,0,0,0,0,3.996,0,2.212,0,4.671,3.096,2.305,0,4.619,0,4.358,2.48,3.512,7.534,7.606,2.125,0,0,3.115,4.925,3.954,0,0,0,3.591,0,3.252,3.126
