genome,M303543,M303565,M303581,M303573,M303553,M303561,M303569,M303541,M303551,M303585,M303567,M303557,M303556,M303568,M303575,M303545,M303583,M303548,M303550,M303540,M303580,M303544,M303552,M303577,M303584,M303554,M303562,M303555,M303572,M303571,M303549,M303558,M303579,M303560,M303538,M303546,M303574,M303582,M303563,M303570,M303566,M303539
D300242:bin_000001,0,1.341,24.574,5.927,0,12.108,0,4.098,6.883,26.849,0,0,1.623,0,11.691,39.578,6.811,10.059,7.349,1.684,0,4.38,2.855,7.217,25.284,3.482,6.973,8.102,2.678,12.949,1.814,0,103.723,1.433,0,17.246,4.859,0,3.131,86.789,0,5.557
D300242:bin_000002,0,3.305,48.922,6.502,0,8.673,0,7.844,6.903,23.908,4.085,0,0,2.139,10.178,24.279,8.19,2.623,13.097,20.418,0,15.605,7.861,12.48,41.692,2.827,23.897,12.888,11.514,24.659,0,0,72.321,0,0,13.599,6.534,0,2.305,29.346,0,7.065
D300242:bin_000003,0,0,20.886,2.329,0,1.329,0,0,0,2.206,0,0,0,0,0,3.427,0,2.34,0,4.78,0,2.683,0,1.928,0,0,1.59,0,0,0,0,0,1.523,0,0,5.653,0,0,0,4.923,0,0
D300242:bin_000023,0,3.795,38.359,5.509,0,19.004,0,4.382,14.217,24.168,2.238,0,0,0,12.584,55.161,7.722,10.834,6.581,5.63,0,6.21,4.607,8.435,42.248,4.866,8.79,10.564,11.796,11.21,0,0,66.382,3.968,0,12.512,1.936,0,4.372,82.395,0,3.058
D300242:bin_000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300243:bin_000004,0,4.984,19.608,5.635,0,19.091,0,8.339,9.998,14.304,6.004,0,0,0,6.471,36.606,5.914,4.768,6.123,4.355,0,7.406,2.05,10.401,44.355,1.829,5.366,12.809,7.238,11.168,0,0,30.335,2.492,0,10.392,7.425,0,8.359,34.767,0,2.451
D300243:bin_000028,0,8.189,52.603,11.708,0,35.98,0,11.438,5.64,43.897,6.595,0,0,1.325,19.67,68.39,15.94,4.744,30.1,19.4,0,22.977,9.885,24.043,48.847,2.969,40.31,14.563,14.683,21.565,0,0,53.862,1.811,0,18.517,11.095,2.325,20.012,37.454,0,6.334
D300243:bin_000041,0,2.019,17.628,5.113,0,5.261,0,6.743,2.913,20.359,0,0,0,0,3.701,23.344,4.767,3.309,4.524,3.19,0,3.622,1.471,4.415,17.511,1.983,5.262,8.656,2.435,6.075,0,0,21.484,1.63,0,5.246,4.626,0,2.872,18.037,0,2.409
D300243:bin_000043,0,3.145,20.73,3.387,0,19.523,0,5.375,9.135,18.262,1.581,0,0,0,8.614,52.113,5.386,7.745,6.184,2.248,0,5.347,4.337,14.034,41.834,0,11.192,3.829,3.035,8.913,0,0,40.113,3.858,0,11.763,2.694,0,6.503,42.491,0,1.737
D300244:bin_000018,0,2.745,20.6,4.598,0,11.47,0,4.856,4.761,13.848,2.124,0,0,0,7.418,30.337,4.871,6.743,6.108,4.1,0,6.301,2.228,6.475,28.862,2.311,7.788,7.75,2.743,7.057,0,0,25.934,2.656,0,13.918,3.071,0,3.995,35.083,0,1.508
