genome,M304733,M304721,M304633,M304642,M304706,M304700,M304631,M304643,M304637,M304732,M304698,M304603,M304724,M304717,M304641,M304736,M304612,M304697,M304699,M304597,M304608,M304723,M304623,M304735,M304731,M304714,M304695,M304640,M304715,M304720,M304621,M304738,M304725,M304606,M304619,M304708,M304607,M304709,M304622,M304615,M304620,M304726,M304718,M304639,M304605,M304710,M304703,M304632,M304602,M304711,M304600,M304625,M304628,M304617,M304716,M304609,M304729,M304613,M304707,M304705,M304604,M304610,M304730,M304727,M304627,M304618,M304712,M304601,M304634,M304737,M304635,M304734,M304701,M304624,M304693,M304694,M304596,M304722,M304696,M304704,M304614,M304638,M304598,M304630
TM4:bin_000133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000166,1.792,7.641,2.489,2.318,6.787,4.657,0,2.569,7.986,19.808,2.702,5.367,2.832,3.117,1.781,3.456,1.513,8.474,2.553,1.215,3.784,2.241,0,3.067,0,0,3.605,1.065,5.119,5.415,3.354,2.308,0,0,6.266,0,2.15,0,0,0,6.225,1.635,0,2.658,8.741,1.765,0,5.666,0,1.801,2.562,2.787,3.422,5.511,2.682,1.787,4.123,0,3.207,1.592,0,3.906,3.845,2.441,2.514,0,0,5.337,2.24,3.364,1.917,2.56,2.489,4.042,4.03,1.515,5.5,5.112,5.933,0,0,10.051,2.608,3.857
TM4:bin_000184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000200,2.787,0,0,0,2.069,0,0,0,0,2.658,1.878,0,2.274,0,0,1.19,0,0,0,0,0,0,0,2.33,0,0,2.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.812,0,1.922,2.456,0,0,0,1.709,0,0,0,0,0,3.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000204,13.465,20.834,16.757,12.231,15.865,15.153,3.956,14.529,19.838,13.857,13.427,13.349,17.98,15.48,2.248,8.746,4.637,25.017,13.268,8.588,13.926,7.918,7.662,8.541,0,1.392,23.724,5.384,14.296,22.686,10.243,8.633,7.336,4.72,27.409,6.325,16.152,6.224,5.609,0,9.797,9.869,4.782,10.63,18.713,7.039,0,22.72,13.856,7.193,6.466,9.31,11.959,14.232,14.029,9.201,15.249,3.615,16.199,14.019,0,21.415,16.587,15.15,8.008,4.844,8.573,30.331,8.741,13.08,7.701,8.056,17.223,13.108,13.292,14.885,37.849,14.19,16.675,0,0,27.13,16.287,13.332
TM4:bin_000209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
