genome,M303284,M303267,M303274,M303272,M303264,M303266,M303293,M303263,M303271,M303268,M303250,M303256,M303280,M303278,M303275,M303273,M303292,M303296,M303291,M303295,M303261,M303281,M303287,M303277,M303283,M303255,M303294,M303286,M303254,M303262,M303289,M303276,M303251,M303282,M303290,M303253,M303258,M303269,M303288,M303260,M303265,M303257
D300242:bin_000001,0,1.202,2.753,0,0,1.287,2.653,2.273,0,0,1.546,0,0,0,0,0,0,4.195,0,0,0,0,0,0,0,0,7.619,0,4.892,0,3.428,0,0,0,0,1.631,2.348,0,0,1.381,0,4.482
D300242:bin_000002,25.342,24.527,65.23,0,6.111,23.339,87.119,98.382,4.817,0,27.128,0,0,107.198,43.596,24.154,86.259,92.581,0,70.651,0,74.973,98.986,184.72,31.295,0,168.404,4.766,132.68,0,90.663,84.156,29.78,0,35.347,37.091,16.853,49.109,102.983,48.418,27.529,79.266
D300242:bin_000003,9.671,6.628,21.084,0,0,15.147,31.201,28.601,0,0,28.559,0,0,25.758,20.286,12.094,12.404,38.642,0,30.883,0,244.878,7.851,16.834,30.191,0,10.264,0,12.257,1.55,52.779,9.727,9.807,0,43.905,29.176,7.921,7.636,13.97,4.868,4.242,45.026
D300242:bin_000023,4.936,8.246,10.92,0,4.665,5.192,13.975,10.391,0,0,11.787,0,0,17.892,6.142,6.159,11.916,25.583,0,5.528,0,5.209,10.28,16.525,7.062,0,27.039,0,29.336,0,12.677,17.961,2.516,0,13.136,8.205,7.233,10.198,11.828,13.782,6.217,17.639
D300242:bin_000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300243:bin_000004,2.997,5.497,7.18,0,2.193,1.769,10.417,7.645,0,0,5.539,0,0,11.211,7.111,1.621,12.097,11.734,0,4.189,0,8.194,9.49,5.715,0,0,13.356,0,9.975,0,6.061,7.648,0,0,13.439,5.047,5.56,4.642,8.581,3.061,1.931,16.576
D300243:bin_000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300243:bin_000041,4.934,1.94,9.846,0,24.428,2.307,9.107,12.034,0,0,3.94,0,0,25.301,12.374,1.729,0,11.879,0,11.436,0,13.834,6.009,3.067,5.941,0,12.768,0,5.969,0,5.807,12.27,4.38,0,7.332,9.073,4.836,3.063,3.738,2.068,13.397,9.45
D300243:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300244:bin_000018,0,0,0,0,8.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300244:bin_000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300244:bin_000028,0,1.761,2.552,0,0,0,8.378,10.592,0,0,0,0,0,5.24,0,0,0,3.933,0,4.745,0,6.294,8.326,4.966,5.374,0,0,0,3.091,0,6.434,8.806,0,0,0,3.122,0,2.883,0,1.435,2.276,7.708
D300245:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300245:bin_000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300245:bin_000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300245:bin_000027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300245:bin_000045,26.333,30.83,80.812,0,23.079,13.585,60.216,65.806,1.89,0,43.427,0,0,111.901,55.537,25.511,48.563,75.836,0,89.621,0,38.457,38.425,39.253,62.059,0,71.262,2.881,61.556,2.318,61.332,99.471,20.953,0,46.935,97.572,32.22,26.755,53.131,28.004,22.42,98.175
D300246:bin_000002,0,1.16,0,0,2.741,0,0,2.34,0,0,0,0,0,4.905,9.044,0,0,12.538,0,3.383,0,0,11.375,0,13.401,0,7.652,0,3.683,0,1.438,13.062,0,0,0,1.883,1.191,0,0,1.519,2.086,1.571
D300246:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300246:bin_000011,2.847,3.758,7.453,0,1.537,2.295,13.62,11.119,0,0,5.061,0,0,16.342,0,1.927,0,12.887,0,5.082,0,64.954,8.513,28.191,0,0,28.679,0,9.977,0,12.775,19.388,0,0,6.467,2.895,3.842,3.981,9.43,6.786,1.74,14.298
D300246:bin_000018,0,0,0,0,0,0,0,1.541,0,0,0,0,0,5.413,0,0,0,2.663,0,0,0,0,4.381,3.768,0,0,0,0,3.776,0,2.036,0,0,0,6.57,0,1.793,2.245,4.529,1.863,1.468,3.565
