genome,M303694,M303712,M303722,M303708,M303709,M303689,M303705,M303698,M303700,M303719,M303692,M303686,M303707,M303715,M303714,M303697,M303718,M303706,M303687,M303703,M303690,M303725,M303726,M303691,M303693,M303721,M303695,M303710,M303723,M303711,M303729,M303720,M303704,M303717,M303724,M303688,M303685,M303728,M303682,M303684,M303699,M303702
D300242:bin_000001,0,1.263,0,0,0,0,2.595,1.683,0,0,0,0,1.601,0,2.398,1.756,1.758,0,1.246,0,0,3.42,0,0,0,0,0,0,2.081,1.361,0,1.813,2.076,1.296,8.623,0,1.266,2.967,0,2.244,0,4.009
D300242:bin_000002,0,22.685,3.197,15.367,4.714,18.252,49.476,10.608,2.059,13.441,12.283,0,10.33,8.656,5.992,43.461,22.648,0,8.792,35.924,0,39.123,12.477,30.106,15.301,0,9.769,0,45.083,87.635,1.347,37.702,30.941,16.348,98.682,0,13.939,29.545,4.915,7.169,5.334,59.58
D300242:bin_000003,0.867,19.518,0,19.687,1.911,9.52,20.036,4.607,0,12.178,3.008,0,3.611,1.973,11.249,34.133,23.983,0,8.577,31.279,0,25.058,6.516,24.651,3.844,0,2.791,0,10.36,28.743,0,38.716,40.645,5.806,64.313,0,42.924,32.864,3.372,3.613,1.68,16.63
D300242:bin_000023,0,4.409,0,5.592,2.657,10.348,11.927,6.924,0,4.262,6.305,0,7.767,2.791,4.293,21.951,10.736,0,7.002,15.008,0,13.402,3.596,7.937,1.532,0,3.248,0,15.035,14.253,0,14.599,7.793,12.62,21.271,0,11.039,11.29,0,10.345,3.74,24.833
D300242:bin_000025,0,0,0,0,0,1.352,0,0,0,0,1.133,0,0,0,0,2.22,1.613,0,0,0,0,1.309,0,1.387,0,0,0,0,1.749,1.456,0,0,0,0,3.45,0,13.19,1.633,0,0,0,3.18
D300243:bin_000004,0,1.232,0,2.777,1.638,3.483,6.582,1.911,0,1.726,1.428,0,1.697,0,2.754,8.367,3.16,0,2.51,5.741,0,4.896,0,8.097,2.665,0,2.378,0,8.83,5.441,0,4.846,6.901,7.052,13.393,0,5.499,4.001,0,2.257,0,11.594
D300243:bin_000028,0,10.287,1.092,5.735,0,3.83,13.826,2.582,0,6.072,3.435,0,2.439,2.644,2.848,11.932,5.776,0,3.915,10.013,0,17.99,2.14,8.785,2.88,0,3.052,0,9.973,34.162,0,10.455,11.248,4.001,42.98,0,4.04,8.094,1.153,2.152,1.374,19.631
D300243:bin_000041,0,3.827,0,5.883,2.909,7.144,8.677,2.802,0,3.128,2.213,0,2.195,0,2.46,7.746,7.412,0,3.96,6.64,0,8.221,1.327,2.906,2.531,0,3.059,0,7.696,3.879,0,10.693,14.659,3.583,4.395,0,5.246,6.096,0,1.639,0,14.383
D300243:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300244:bin_000018,0.816,2.813,0,6.424,2.238,4.429,5.383,4.856,0,4.487,3.554,0,2.478,1.372,2.628,13.901,7.153,0,6.099,12.108,0,8.765,1.098,7.464,4.462,0,2.446,0,9.312,15.851,0,7.693,8.94,5.148,23.005,0,6.398,6.19,0,2.199,2.213,31.115
D300244:bin_000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300244:bin_000028,0,5.79,0,3.273,0,2.882,4.662,0,0,3.378,2.77,0,1.357,0,0,4.202,3.445,0,1.935,6.248,0,4.306,1.395,5.866,1.831,0,1.222,0,3.155,7.28,0,5.11,5.614,2.579,8.985,0,2.84,3.916,0,0,0,8.018
D300245:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.302,2.47,1.659,0,1.338,0,0,2.525,0,0,0,0,0,0,2.698,0,0,0,1.934,0,6.02,0,0,1.776,0,0,0,4.282
D300245:bin_000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.173,0,0,0,0,0,0,0,0,0,0,0,0
D300245:bin_000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300245:bin_000027,0,0,0,0,0,1.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.678,0,0,0,0,0,0,0,0,1.899
D300245:bin_000045,1.618,29.853,1.552,23.072,10.977,20.729,60.953,16.619,2.616,12.438,16.142,0,19.863,9.381,15.198,56.896,27.937,0,26.192,41.424,0,31.748,7.045,23.147,15.951,0,21.565,0,69.641,35.783,0,49.591,51.413,39.233,75.148,0,35.767,39.422,3.795,20.618,5.459,161.392
D300246:bin_000002,0,2.814,0,3.641,4.977,14.702,3.001,1.453,0,1.823,1.912,0,1.738,0,1.9,8.666,6.4,0,2.564,5.112,0,2.465,2.065,2.204,1.193,0,1.545,0,6.54,2.187,0,2.559,5.374,2.241,2.971,0,3.174,14.677,0,0,0,8.83
D300246:bin_000010,0,0,0,0,0,0,1.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.151,0,0,0,0,0,0,0,1.126,0,0,0,0,2.715,0,0,0,0,0,0,2.353
D300246:bin_000011,0,1.769,0,2.357,0,1.739,4.301,1.176,0,0,0,0,0,0,0,3.826,1.816,0,1.052,4.606,0,9.057,0,6.43,2.729,0,1.198,0,4.265,3.309,0,1.431,6.168,1.658,13.107,0,0,6.437,0,0,1.731,7.761
D300246:bin_000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.661,0,0,0,0,0,0,0,0,0,0,0,0,3.893,0,2.892,0,0,0,0,1.492
D300246:bin_000044,0,5.744,0,9.962,0,4.556,11.851,4.096,0,6.512,2.392,0,4.725,3.221,5.88,19.943,6.959,0,6.043,9.144,0,10.327,0,6.426,3.421,0,3.362,0,13.004,8.249,0,14.456,14.686,6.557,32.411,0,6.687,12.994,0,5.914,0,28.093
D300246:bin_000052,0,3.173,0,7.527,10.446,29.315,13.528,3.848,0,4.47,3.381,0,3.689,2.47,4.043,14.67,11.184,0,4.148,9.454,0,9.068,3.083,2.656,3.794,0,4.296,0,16.532,6.617,0,11.856,13.509,6.233,4.92,0,9.709,21.609,0,1.946,1.41,20.932
D300247:bin_000006,1.305,4.741,0,7.337,6.491,14.069,18.88,8,1.315,5.511,3.495,0,5.776,2.949,8.003,15.948,11.214,0,8.128,8.994,0,15.918,2.516,9.045,5.756,0,3.718,0,16.332,14.306,0,15.357,11.591,6.276,34.138,0,18.182,13.751,1.085,3.416,1.562,46.32
D300248:bin_000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300248:bin_000008,0,2.117,0,2.496,0,2.127,4.044,2.105,0,0,0,0,2.167,0,1.672,5.256,2.448,0,2.515,4.15,0,3.311,0,2.75,1.562,0,1.583,0,5.21,2.566,0,4.051,3.084,1.962,6.718,0,2.377,2.777,0,1.733,0,10.804
D300248:bin_000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300248:bin_000023,0,8.56,0,4.251,6.638,223.434,4.644,2.151,0,1.584,2.209,0,0,2.115,1.29,5.598,6.027,0,9.475,21.214,0,5.08,1.782,2.613,1.794,0,3.083,0,3.873,2.671,0,5.974,11.581,3.228,2.015,0,2.933,11.388,0,1.404,1.249,9.034
D300248:bin_000024,0,13.128,3.375,14.646,6.436,19.098,24.911,15.346,0,13.581,13.353,0,10.114,4.267,2.035,31.43,21.439,0,13.182,16.84,0,47.337,11.458,33.397,11.314,0,6.82,0,38.419,82.866,1.485,33.434,26.104,16.32,103.36,0,12.105,39.637,2.417,5.143,3.803,44.529
D300249:bin_000005,0.987,16.078,1.18,22.466,6.593,19.746,39.401,12.127,1.047,10.763,11.172,0,12.968,8.514,21.704,37.024,24.409,0,16.455,35.176,0,31.801,6.819,29.211,11.835,0,9.403,0,36.799,29.441,1.319,30.727,40.92,15.505,63.518,0,20.925,28.247,1.618,9.782,2.643,61.137
D300249:bin_000046,0,0,0,0,0,1.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300250:bin_000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300250:bin_000018,0,0,0,0,0,0,1.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.734,0,0,0,0,0,0,0,1.144,0,0,0,0,3.442,0,1.094,0,0,0,0,0
D300250:bin_000024,0,5.041,0,0,0,3.117,0,0,0,1.271,1.396,0,1.53,0,0,3.257,0,0,1.605,5.252,0,5.446,0,2.108,0,0,0,0,3.482,4.919,0,2.597,2.928,1.364,8.024,0,1.874,4.057,0,0,0,7.764
D300251:bin_000015,0,2.326,0,2.845,0,3.374,6.825,1.62,0,1.532,2.468,0,3.575,2.111,3.543,9.113,3.67,0,5.029,4.261,0,6.611,1.719,3.839,1.678,0,1.986,0,8.213,4.026,0,8.779,6.277,4.204,13.473,0,3.829,8.566,0,3.038,0,15.541
D300251:bin_000040,0,4.498,0,3.341,0,4.129,8.059,1.797,0,2.455,2.03,0,2.708,2.549,0,8.848,4.7,0,2.277,5.551,0,7.976,2.378,5.007,1.851,0,2.871,0,7.853,16.179,0,4.084,7.475,3.959,15.287,0,4.496,5.672,0,1.115,0,18.037
D300252:bin_000001,0,3.651,0,5.968,0,3.259,4.571,2.12,0,2.951,2.568,0,2.049,0,1.483,11.48,3.775,0,3.368,8.035,0,10.743,2.442,7.823,2.168,0,0,0,8.282,13.716,0,3.898,5.794,3.379,16.557,0,3.224,6.551,1.298,3.522,1.078,18.356
D300252:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300252:bin_000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300252:bin_000020,0,3.635,0,1.387,0,4.606,4.015,0,0,0,2.01,0,0,0,0,2.91,1.961,0,1.648,3.285,0,5.049,1.432,3.091,0,0,0,0,4.133,5.817,0,2.205,2.87,1.705,17.128,0,1.883,3.951,0,0,0,11.014
D300253:bin_000005,0,0,0,0,0,1.007,0,1.45,0,0,0,0,0,0,0,1.681,1.394,0,0,1.349,0,0,0,1.733,0,0,0,0,0,1.152,0,0,0,0,0,0,0,0,0,0,0,5.861
D300253:bin_000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300253:bin_000040,0,2.483,0,2.752,1.886,2.281,4.834,2.62,0,2.954,5.03,0,1.235,1.536,1.993,6.414,3.938,0,1.627,6.801,0,7.149,0,5.506,1.697,0,1.723,0,3.751,6.473,0,4.067,6.88,2.556,8.527,0,3.054,5.581,0,0,1.184,18.277
D300254:bin_000011,0,2.188,0,1.459,0,1.459,4.698,0,0,2.328,1.137,0,1.256,0,0,3.372,1.692,0,1.949,4.092,0,3.705,0,3.544,1.992,0,0,0,3.355,7.211,0,2.648,3.805,1.384,12.506,0,2.371,3.667,0,1.478,0,5.85
D300254:bin_000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300254:bin_000019,0,2.692,0,3.743,2.694,4.034,4.792,3.627,0,1.952,1.44,0,2.014,0,1.631,6.322,3.112,0,4.372,2.37,0,6.123,0,3.384,2.419,0,1.36,0,5.904,4.305,0,4.465,5.164,2.236,10.293,0,3.456,3.976,0,0,0,19.727
D300254:bin_000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300255:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300255:bin_000023,0,3.122,0,3.545,5.634,18.161,3.771,2.883,0,1.795,2.158,0,1.174,0,2.174,6.158,6.464,0,3.062,4.01,0,5.601,2.072,5.306,1.656,0,1.316,0,5.993,2.6,0,4.416,8.598,5.063,3.845,0,4.386,24.515,0,1.726,1.197,15.838
D300256:bin_000008,0,11.103,0,7.775,2.63,10.139,14.554,3.854,1.036,4.813,15.774,0,8.123,5.198,8.093,24.543,12.25,0,9.201,20.634,0,16.452,2.867,8.413,4.688,0,4.313,0,19.453,18.225,0,17.157,22.12,8.213,37.308,0,11.918,6.32,0,6.987,3.038,38.864
D300256:bin_000021,0,1.247,0,1.136,0,1.17,1.891,1.137,0,0,0,0,0,0,0,1.178,1.757,0,0,1.56,0,0,0,0,0,0,0,0,1.44,1.583,0,1.824,1.625,0,2.906,0,0,1.036,0,0,0,2.914
D300256:bin_000037,0,27.021,0,18.065,0,157.087,0,1.451,0,0,0,0,0,3.094,0,0,8.452,0,0,255.261,0,111.752,18.755,7.755,4.482,0,0,0,65.715,472.197,0,52.117,0,0,117.009,0,0,46.688,0,2.775,0,7.223
D300257:bin_000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300257:bin_000017,0,0,0,0,0,2.246,0,0,0,0,0,0,1.179,0,0,1.344,0,0,1.936,1.973,0,7.301,0,0,0,0,0,0,1.388,0,0,9.622,3.891,1.177,1.196,0,0,2.584,0,0,0,1.788
D300257:bin_000026,0,0,0,0,0,0,2.537,0,0,0,0,0,0,0,0,2.112,0,0,1.129,0,0,3.102,0,1.466,0,0,0,0,3.606,4.064,0,2.174,1.849,0,7.542,0,1.754,1.613,0,0,0,5.663
D300257:bin_000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300258:bin_000001,0,3.381,0,3.034,0,3.413,8.765,2.098,1.088,0,4.276,0,4.684,2.35,5.424,10.808,2.848,0,3.099,8.621,0,2.91,1.184,3.278,0,0,1.366,0,7.792,3.372,0,7.447,4.923,5.586,5.465,0,4.46,3.973,0,6.13,1.816,14.192
D300258:bin_000003,0,4.432,0,3.71,0,3.655,9.906,1.119,0,2.904,1.166,0,0,0,0,5.423,3.743,0,0,9.707,0,8.025,1.143,7.754,1.604,0,1.166,0,4.172,17.01,0,5.949,10.459,2.851,18.338,0,4.443,5.871,1.076,0,0,5.78
D300258:bin_000012,0,3.396,0,3.479,0,1.649,4.685,1.474,0,1.471,2.126,0,3.049,1.239,0,9.825,3.718,0,1.234,4.261,0,8.308,1.076,3.963,0,0,1.499,0,8.514,9.633,0,4.769,6.444,1.789,12.162,0,3.941,3.514,0,1.269,0,11.725
D300258:bin_000053,0,1.175,0,3.077,1.283,3.604,3.282,2.36,0,1.269,0,0,1.252,0,2.967,4.024,1.975,0,2.567,4.256,0,3.721,0,1.781,0,0,1.45,0,2.5,2.802,0,2.499,5.87,2.19,3.768,0,4.976,3.003,0,0,0,6.226
D300259:bin_000025,0,5.459,0,5.055,1.399,5.932,8.444,1.528,0,5.135,2.361,0,2.079,1.949,0,9.773,4.023,0,2.979,6.498,0,8.234,1.713,4.58,2.634,0,2.282,0,13.833,11.716,0,6.955,7.103,2.833,17.168,0,3.783,6.034,0,1.487,0,12.301
D300260:bin_000003,0,2.431,0,4.474,0,3.971,5.467,4.354,0,2.172,1.607,0,2.06,2.139,1.566,5.269,3.012,0,2.265,5.664,0,3.44,0,2.805,1.32,0,1.627,0,5.623,4.343,0,3.184,2.168,2.041,6.432,0,4.088,2.904,0,1.263,1.384,17.34
