genome,M303311,M303313,M303335,M303308,M303304,M303314,M303315,M303324,M303299,M303322,M303330,M303325,M303343,M303344,M303327,M303310,M303323,M303320,M303329,M303339,M303332,M303317,M303345,M303337,M303316,M303303,M303306,M303309,M303342,M303333,M303338,M303312,M303298,M303331,M303321,M303318,M303336,M303326,M303302,M303341,M303300,M303305
D300242:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300242:bin_000002,4.603,9.09,40.878,11.326,3.687,1.18,0,0,0,0,0,20.103,0,39.955,14.911,0,58.946,6.009,0,7.849,16.064,8.575,16.167,18.313,3.417,3.132,0,2.301,38.755,81.237,16.637,2.842,0,25.165,1.136,0,52.12,0,3.294,0,0,2.532
D300242:bin_000003,0,0,6.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.837,0,0,0,0,0
D300242:bin_000023,0,3.273,28.471,2.506,0,0,0,8.167,2.644,0,0,14.343,0,11.533,0,0,14.373,3.813,0,8.928,8.972,2.449,10.964,8.999,1.357,3.069,0,1.946,12.794,0,12.686,1.919,0,10.367,0,0,24.15,0,0,0,0,0
D300242:bin_000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300243:bin_000004,0,2.195,15.963,2.094,0,0,0,0,0,0,0,13.51,0,0,10.113,0,16.254,4.135,0,0,9.696,3.952,16.098,14.228,1.851,0,0,1.8,16.842,11.415,15.091,2.004,1.333,10.427,0,0,17.429,0,2.029,17.851,0,0
D300243:bin_000028,2.79,3.726,23.345,2.861,0,0,0,0,0,0,0,25.265,0,21.152,39.759,0,9.509,4.843,0,0,6.213,9.672,16.38,34.86,3.928,1.949,0,1.326,13.428,20.143,11.163,1.553,0,7.153,0,0,14.672,0,1.441,0,0,1.328
D300243:bin_000041,2.208,4.783,13.091,1.801,0,0,0,12.866,1.652,0,0,17.602,0,10.235,14.719,0,27.898,3.812,0,8.066,16.004,4.842,10.194,7.053,1.469,1.689,0,1.951,15.828,13.983,14.629,1.982,2.577,16.095,0,0,23.5,0,0,14.756,0,0
D300243:bin_000043,0,2.792,0,0,0,0,0,7.544,0,0,0,0,0,0,0,0,15.133,1.534,0,0,0,1.872,0,5.608,0,0,0,0,0,0,6.096,0,0,5.105,0,0,6.745,0,0,0,0,0
D300244:bin_000018,0,2.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.773,1.726,0,0,5.882,2.408,0,3.97,0,0,0,0,0,0,8.7,0,0,4.801,0,0,7.364,0,0,0,0,0
D300244:bin_000021,1.528,4.707,36.982,2.715,2.921,0,0,0,1.702,0,0,26.177,0,21.272,14.765,0,26.727,6.889,0,24.525,11.349,9.077,20.775,27.376,3.17,2.941,0,2.415,32.041,21.056,14.552,1.645,0,22.91,1.305,0,26.251,0,3.959,27.197,0,1.756
D300244:bin_000028,0,1.608,14.291,0,0,0,0,0,0,0,0,7.035,0,7.723,22.413,0,10.652,2.846,0,0,5.723,5.921,6.521,7.601,0,0,0,0,8.907,0,9.842,1.629,0,6.376,0,0,22.13,0,0,0,0,1.121
D300245:bin_000010,1.427,3.563,16.841,1.718,0,0,0,0,0,0,0,6.987,0,9.436,8.962,0,17.382,2.899,0,0,12.117,3.864,8.922,10.178,0,0,0,0,0,9.006,36.952,2.128,2.756,37.615,0,0,13.52,0,0,0,0,0
D300245:bin_000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300245:bin_000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
